,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All
watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,nlargest_nsmallest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,0.999,0.002,208,nlargest,1.480975,1.30419,1.85072,1.19942,1.16057,0.89695,1.48943,1.10491,1.44093,1.84949,1.16231,1.00489,1.10903,0.84771,0.95357,1.49055,1.02953,2.15602,2.01976,1.92596,2.99112,1.41332,1.24416,2.4706,1.41332,1.4578285714285715,1.518574,2.17587,1.373728,1.15123,0.8987399999999999,1.523016,1.087634,1.366094,1.735648,1.0855219999999999,1.0551920000000001,1.129496,1.009576,0.9884299999999999,1.290964,1.6189700000000002,2.0773319999999997,1.7388780000000001,1.83813,3.971846,2.028198,1.5470140000000001,3.19394,1.6079822480620154,1.36647,0.87956,1.4766,1.00351,1.07585,0.80995,1.21453,0.94666,1.05354,1.19599,0.94027,0.91969,0.81993,0.84537,0.9494,0.96149,1.02391,1.66306,0.8916,1.52566,2.96523,1.39825,1.01451,1.68077,0.80995,1.52182,2.06848,3.06256,2.37841,1.18913,0.97224,1.72522,1.19482,1.45715,1.9114,1.17121,1.17958,1.43951,1.25703,1.10969,1.52088,3.46625,2.70801,2.02624,1.95719,6.2713,3.93674,2.2414,6.96706,6.96706,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,2,1,0.999,0.002,208,nsmallest,1.49312,2.35299,1.58737,1.11761,1.52998,1.10901,1.48767,1.28435,1.4726,1.50467,1.01504,1.18388,1.3275,1.07795,1.26084,1.04509,1.59679,1.09351,1.14637,1.52088,3.2038,1.45049,1.30326,1.42948,1.38863,1.5146914285714286,2.342156,2.472392,1.4936880000000001,1.593298,2.006894,1.466502,1.286634,2.41142,1.640356,1.074408,1.3200759999999998,1.395928,1.054438,1.320838,1.132648,1.923986,1.176578,1.1192199999999999,1.524602,2.958628,1.5250340000000002,1.671022,1.53241,1.6156702325581396,1.38852,1.9017,1.20679,0.89327,1.04143,1.08349,1.27069,1.05124,1.18554,1.28716,0.97361,1.0872,0.86719,0.89201,1.00787,1.02167,1.14652,1.0606,0.91292,1.05549,1.24866,1.23087,1.10212,1.26025,0.86719,1.66138,2.65022,4.65805,2.38677,2.64466,5.6425,1.58285,1.61193,4.06654,1.9765,1.23153,1.66327,1.91957,1.25279,1.78288,1.30802,3.45056,1.56419,1.20981,1.7663,5.46705,2.16318,2.9975,2.03885,5.6425,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,1,1,0.999,0.002,208,nsmallest,1.5211549999999998,1.93415,1.84944,1.24516,1.5564,1.18687,1.34006,1.0736,1.59235,1.89264,1.22376,1.33237,1.26322,1.17694,1.00668,1.29092,1.24873,1.12175,1.34148,2.02788,2.87342,1.61332,2.86436,1.44172,1.38677,1.5099378571428572,2.560616,1.899396,1.57104,1.50421,2.765774,1.34439,1.147526,1.712756,1.694332,1.1518760000000001,1.244246,1.38375,1.118596,1.282628,1.34294,1.432344,1.162444,1.213976,1.96977,2.900248,1.631698,2.207742,2.191834,1.6535642635658914,1.38618,1.91127,1.69251,1.05356,1.16495,1.10823,1.31622,1.03999,1.36271,1.22946,0.88027,0.94719,0.7814,0.89457,0.99297,1.18222,1.23797,1.09651,0.98993,1.05519,2.45444,1.56756,0.86345,1.10685,0.7814,1.69366,3.54036,2.08829,2.17766,1.65223,5.22594,1.37652,1.3224,2.40753,1.92277,1.23419,1.64767,1.94066,1.18498,1.89309,1.50779,2.11042,1.36247,1.35272,2.75589,3.39435,1.74256,3.53959,4.73397,5.22594,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,1,1,0.998,0.002,208,nsmallest,1.480925,1.82479,1.9285,1.1785,1.52085,1.13447,1.28873,1.01265,1.49466,1.78548,1.1589,1.26491,1.2364,1.11857,0.94016,1.22857,1.20033,1.11195,1.29685,1.94727,2.69172,1.70412,2.71734,1.41873,1.37505,1.4587292857142857,2.469868,1.872322,1.596058,1.463716,2.67546,1.30408,1.1087900000000002,1.6171520000000001,1.611386,1.092812,1.1778819999999999,1.360852,1.063574,1.207886,1.267778,1.386088,1.130012,1.16085,1.9478719999999998,2.7195080000000003,1.6589800000000001,2.08671,2.10989,1.5958902325581397,1.3311,1.80486,1.59295,0.98858,1.14272,1.12027,1.27131,0.98047,1.32153,1.15792,0.85834,0.885,0.74057,0.84291,0.92632,1.10758,1.18957,1.04938,0.92308,1.25129,2.30224,1.49736,0.79902,1.05555,0.74057,1.627,3.47598,1.97016,2.34284,1.59682,5.04685,1.38736,1.37505,2.2643,1.81398,1.1689,1.5748,1.93041,1.12526,1.81188,1.41813,2.10295,1.31277,1.30855,2.69182,3.19198,1.72997,3.35775,4.532,5.04685,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,2,1,0.998,0.002,208,nsmallest,1.4625400000000002,2.25495,1.51355,1.13428,1.48265,1.42513,1.41992,1.22314,1.40231,1.43073,0.98483,1.13964,1.27803,1.0247,1.19888,0.99493,1.64419,1.05518,1.14306,1.53237,3.04417,1.4608,1.25021,1.35878,1.36774,1.4788700000000001,2.236142,2.4267220000000003,1.473116,1.579056,2.0900659999999998,1.442036,1.270624,2.2966439999999997,1.5914220000000001,1.03769,1.267112,1.343286,1.03018,1.263842,1.080292,1.9190919999999998,1.143502,1.074802,1.6270399999999998,2.8227260000000003,1.476404,1.591508,1.4801819999999999,1.5776868992248063,1.36764,1.81166,1.14535,0.88404,1.08517,1.05994,1.25433,1.00046,1.12259,1.22322,0.96086,1.06117,0.88684,0.86367,0.99317,0.96881,1.08846,1.03617,0.87821,0.99742,1.18492,1.20209,1.03993,1.22538,0.86367,1.60628,2.5292,4.5877,2.28213,2.52902,5.42878,1.5737,1.71727,3.87893,2.03526,1.16661,1.5817,1.8255,1.22635,1.69675,1.26124,3.3165,1.50702,1.14805,2.32442,5.26194,2.05364,2.82928,1.97084,5.42878,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
3,1,1,0.999,0.002,208,nsmallest,1.4322300000000001,1.83307,1.81237,1.31607,1.02958,1.38559,1.31372,1.1039,1.46785,1.5309,1.1482,1.05404,0.99712,1.06099,1.34889,1.28612,2.01028,1.34243,1.08945,1.56473,1.55364,1.28298,1.90211,1.70416,1.34663,1.4143478571428572,1.727872,2.10622,1.290164,1.340802,1.9323380000000001,1.3916520000000001,1.11348,1.396236,1.5246559999999998,1.45418,1.204844,1.088546,1.094162,1.383782,1.207612,1.788804,1.279918,1.186464,1.459644,1.815026,1.444944,2.34102,1.671874,1.4807912403100776,1.34549,1.33063,1.35299,0.86862,0.98614,0.86615,1.27055,1.09503,0.94823,1.34528,1.0625,0.90615,0.99187,1.04002,1.13391,0.97219,1.30722,0.91841,1.03526,1.10822,1.30262,1.02763,0.98968,1.0414,0.86615,1.46911,1.87513,3.03933,1.73341,2.05513,4.79801,1.61231,1.15542,1.63715,1.74718,2.77389,1.51993,1.39735,1.19154,1.64535,1.39961,2.16076,1.74417,1.49623,1.82159,2.57264,2.15849,3.76886,2.18855,4.79801,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,1,2,0.999,0.002,208,nsmallest,1.52855,2.01835,1.56105,1.64713,1.50327,1.0721,1.30284,0.99939,1.44738,1.66618,1.08655,1.14087,1.28156,1.17187,0.88197,1.25781,1.30523,1.18076,1.14497,1.54372,2.66285,1.33973,2.12955,1.23318,1.334,1.45759,2.23887,1.6616579999999999,1.472818,1.39392,1.885624,1.280646,1.0646520000000002,1.62866,1.573736,1.041516,1.216162,1.352436,1.144606,1.199956,1.25569,1.397466,1.271938,1.114344,1.999362,2.51821,1.3866939999999999,1.92851,1.473926,1.4954516279069767,1.31824,1.81437,1.54616,1.18253,1.19354,1.04248,1.14658,0.97593,1.43495,1.27401,0.86394,1.11435,0.79687,1.05023,0.87626,1.10743,1.29304,1.03215,0.9413,1.36688,2.03491,1.29757,1.09329,1.06816,0.79687,1.54709,2.77871,1.83639,1.68751,1.5434,3.15557,1.334,1.18088,2.26453,1.6891,1.09362,1.55656,1.76605,1.1804,1.82129,1.34398,1.74618,1.92068,1.18881,4.01037,2.71272,1.60979,3.16599,2.27509,4.01037,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
3,1,2,0.999,0.002,208,nsmallest,1.36227,1.73385,1.62536,1.48568,1.06022,1.31922,1.38427,1.09434,1.20156,1.60244,1.04171,1.15079,1.16333,1.13691,1.26799,1.32818,1.6152,1.32899,1.07685,1.37153,1.82957,1.49615,1.48794,1.34565,1.33008,1.3605442857142855,1.7990659999999998,1.7813679999999998,1.405108,1.283014,1.598554,1.290528,1.074082,1.3068300000000002,1.5538820000000002,1.248728,1.161782,1.1904759999999999,1.125306,1.269228,1.224376,1.504542,1.236646,1.108802,1.32578,1.7679040000000001,1.4286699999999999,1.6736440000000001,1.347864,1.3765776744186047,1.31997,1.71313,1.2114,1.00632,0.99044,0.96936,1.11062,0.98202,1.08588,1.34275,1.01391,0.94098,1.12069,1.05066,1.07297,0.9709,1.17231,0.92439,1.0105,1.20504,1.34935,1.083,0.99529,1.12571,0.92439,1.40027,1.97817,2.25592,1.53668,1.81615,3.27856,1.45149,1.19028,1.56334,1.84129,1.97785,1.33342,1.29394,1.17193,1.39745,1.36378,1.80179,1.61139,1.36105,1.4488,2.43007,1.7151,2.29845,1.57811,3.27856,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
