watch_days,num_stocks_to_buy,hold_days,loss_limit,total_profit,yearly_profit
5,1,6,0.998,504.72683560755837,1.3203254989205246
4,1,6,0.998,501.9034048163711,1.31999486396424
2,1,5,0.998,348.07666022004474,1.2986016531435953
5,1,6,0.995,232.32032134094004,1.2753713000436806
4,1,6,0.995,220.23090082528108,1.272332000122792
5,1,3,0.998,190.56615973825612,1.2641401449498364
4,2,6,0.998,183.9477570709734,1.2621467339517516
5,1,4,0.998,150.0846343276792,1.250734107171695
3,2,8,0.998,143.1170604773535,1.2480824649737383
5,2,6,0.998,130.46096791000593,1.2429338748655352
2,1,5,0.995,122.27059900743198,1.2393411041803162
3,2,6,0.998,116.63079632286758,1.2367309097213088
5,1,4,0.995,115.91564219859309,1.2363913464264047
3,1,8,0.998,106.46525822544741,1.2317058115593231
5,2,5,0.998,98.47538688343562,1.2274233192481985
3,2,4,0.998,97.74698126450173,1.2270165360637826
3,1,6,0.998,89.77077770309339,1.2223622271027192
5,1,7,0.998,87.3913008749021,1.2208970498554519
5,1,3,0.995,80.84986858339931,1.2166635613684038
4,2,6,0.995,80.67743156987164,1.2165475906484333
3,2,8,0.995,79.1495057576604,1.2155095291166993
2,2,7,0.998,78.29768247962181,1.2149224641978051
5,2,6,0.995,77.16576516246978,1.214132849351764
5,2,8,0.998,66.5502183132585,1.2061368082262847
3,1,5,0.998,65.24676462645817,1.2050721187957936
3,1,2,0.998,64.05310869175241,1.2040791370266426
4,2,4,0.998,63.21399940526258,1.2033704578573012
2,1,3,0.998,59.65978015722578,1.2002654804451984
2,1,6,0.998,59.01021213189888,1.1996789736128626
4,1,5,0.998,58.48439946054436,1.1991996728701884
5,1,7,0.995,57.625905568738816,1.1984081994589029
4,2,5,0.998,56.41756831993246,1.1972748935698279
2,2,5,0.998,54.66585421886149,1.1955900796982883
5,2,5,0.995,54.47797501852316,1.1954063232029737
5,2,4,0.998,53.61572586166265,1.1945551531839524
2,1,8,0.998,52.42461382736159,1.19335758013043
5,2,3,0.998,51.64359022497615,1.1925581267111336
3,2,6,0.995,50.18779752787907,1.1910366557681182
5,1,5,0.998,49.630831124952344,1.190443385374727
3,1,7,0.998,47.449338456987704,1.188056765705259
5,2,7,0.998,47.14533301716868,1.1877158830658023
3,1,4,0.998,47.06585904888986,1.187626422315118
2,2,7,0.995,45.3022028110081,1.1856030846808048
3,1,8,0.995,43.28027539370301,1.1831887151209868
5,1,8,0.998,42.68844965142739,1.1824616143655187
3,2,4,0.995,41.3297911061281,1.1807552886256087
4,1,4,0.998,41.291853911150305,1.180706878497319
3,1,6,0.995,40.95442845695786,1.1802744240415561
2,1,7,0.998,40.14373034047777,1.1792213336734994
5,2,8,0.995,38.98076189605034,1.177674611006629
5,2,7,0.995,35.32791371149423,1.1725124937714042
3,2,5,0.998,32.730595101674766,1.168521831621759
3,1,3,0.998,31.49516293963109,1.1665162472791497
4,1,3,0.998,31.317080832650365,1.166220972203228
2,1,4,0.998,30.255971802334777,1.1644275899753989
3,1,7,0.995,30.072391565318146,1.1641112361894794
3,1,4,0.995,29.938187368538408,1.163878799890161
3,2,7,0.998,29.7924609854096,1.163625277629075
5,1,5,0.995,29.763563922175145,1.1635748642734391
4,1,7,0.998,29.68803162842156,1.1634428706603053
5,2,4,0.995,26.863310699192905,1.158261028903551
2,2,3,0.998,26.330788477408127,1.1572260894156854
4,2,4,0.995,25.77547011120222,1.156125325968384
3,1,5,0.995,25.463164660038668,1.1554962719253725
2,2,6,0.998,25.0773851212222,1.1547089686788825
4,1,5,0.995,22.87340362004581,1.1499762233213724
2,2,8,0.998,22.857899815639993,1.1499414119740152
4,2,5,0.995,22.058630302602193,1.1481155101739176
2,1,7,0.995,21.564422404713806,1.1469546177843293
2,1,8,0.995,21.46083931704664,1.1467080822340285
3,2,7,0.995,20.392150936158437,1.1440959774364652
2,2,4,0.998,19.60374847960003,1.1420837232224976
5,2,3,0.995,19.243620240589152,1.1411387053106818
2,2,5,0.995,18.15882460553078,1.1381864111829891
4,2,3,0.998,18.11831505435161,1.1380729283556554
5,1,8,0.995,17.993182014750175,1.1377208454233916
2,1,6,0.995,17.051269610498103,1.134992971869616
4,2,7,0.998,15.930230598495356,1.1315521236523292
3,2,3,0.998,15.433731376751595,1.1299536503191476
4,1,4,0.995,14.025743512348361,1.1251380293742288
3,2,2,0.998,13.429302222832204,1.122957247279127
