date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,total_profit,yearly_profit
2020-01-01/2020-12-31,2,2,1,0.998,7.562257574984352,7.572744106806519
2020-01-01/2020-12-31,3,6,1,0.995,7.202618272036188,7.2123653893096575
2020-01-01/2020-12-31,2,2,1,0.995,6.647541162191364,6.656171475444745
2020-01-01/2020-12-31,3,6,1,0.998,6.48438123281965,6.492689207279921
2023-01-04/2023-06-23,2,5,1,0.998,2.333087139703975,6.17320200556334
2021-01-04/2021-12-31,3,2,1,0.998,6.005768722068031,6.133870145230511
2023-01-03/2023-06-23,2,5,1,0.998,2.3011925801402726,5.930875851323224
2021-01-04/2021-12-31,3,2,1,0.995,5.720385129472165,5.8390517658870715
2023-01-04/2023-06-23,2,5,1,0.995,2.2435408047986436,5.67534101339965
2023-01-03/2023-06-23,2,5,1,0.995,2.2128703919304265,5.455240042834894
2020-01-07/2020-12-31,3,8,2,0.998,4.915865059459411,5.054059403471447
2020-01-06/2020-12-31,3,8,2,0.998,4.915865059459411,5.031364551757091
2021-01-05/2021-12-31,5,2,1,0.998,4.757463366910455,4.866915935202958
2021-01-04/2021-12-31,5,2,1,0.998,4.757463366910457,4.845628272395962
2020-01-07/2020-12-31,3,8,2,0.995,4.67358522525269,4.800742605748464
2020-01-06/2020-12-31,3,8,2,0.995,4.67358522525269,4.779867943908647
2023-01-02/2023-06-23,2,2,1,0.998,2.0881683300856735,4.775698733393124
2021-01-05/2021-12-31,5,2,1,0.995,4.620595368865389,4.724887257556735
2021-01-05/2021-12-31,3,2,1,0.998,4.610582124489249,4.714498845124904
2021-01-04/2021-12-31,5,2,1,0.995,4.62059536886539,4.704606775804946
2023-01-04/2023-06-23,3,4,1,0.998,2.013083051328059,4.496305207134474
2021-01-05/2021-12-31,3,2,1,0.995,4.378294463336603,4.473601866230354
2020-01-03/2020-12-31,3,2,1,0.998,4.3415819837905945,4.381273553529933
2020-01-02/2020-12-31,3,2,1,0.998,4.340617937316026,4.362555397674678
2020-01-07/2020-12-31,3,3,1,0.998,4.185225982434149,4.290843848264765
2020-01-06/2020-12-31,3,3,1,0.998,4.185225982434149,4.273519076675886
2023-01-02/2023-06-23,3,4,1,0.998,1.9747811641457562,4.24178147399193
2020-01-02/2020-12-31,2,2,1,0.998,4.201510030069416,4.22227212312172
2023-01-02/2023-06-23,2,2,1,0.995,1.9602381332486982,4.175720325972488
2023-01-04/2023-06-23,3,4,1,0.995,1.9358188094406596,4.133683836656503
2021-01-07/2021-12-31,4,2,1,0.998,3.9703192052731056,4.08274706918511
2023-01-02/2023-06-23,3,4,1,0.995,1.9104554298223404,3.953732703355229
2020-01-03/2020-12-31,3,2,1,0.995,3.907391140223066,3.9405387974693946
2020-01-02/2020-12-31,3,2,1,0.995,3.8947804490146094,3.9130080266885003
2020-01-07/2020-12-31,3,3,1,0.995,3.800845141964076,3.8902327212131933
2020-01-06/2020-12-31,3,3,1,0.995,3.800845141964076,3.8755804936452822
2023-01-02/2023-06-23,5,6,1,0.998,1.8890260409391524,3.8601494947014983
2023-01-03/2023-06-23,3,4,1,0.998,1.8746849302536552,3.8279411058034594
2020-01-03/2020-12-31,2,2,1,0.998,3.7729734894777627,3.8041553138400332
2021-01-07/2021-12-31,2,4,1,0.998,3.703622494225267,3.80313899685539
2023-01-02/2023-06-23,4,6,1,0.998,1.8686108714257232,3.772097865471931
2021-01-07/2021-12-31,2,4,1,0.995,3.6310694145959626,3.727142806361156
2021-01-04/2021-12-31,3,7,1,0.998,3.668176383588774,3.7247351720560093
2021-01-07/2021-12-31,4,2,1,0.995,3.627451447889422,3.7233539437043697
2020-01-02/2020-12-31,2,2,1,0.995,3.6657841171498267,3.682173698014742
2023-01-02/2023-06-23,4,6,1,0.995,1.8409613478450173,3.6545565381465117
2023-01-02/2023-06-23,5,6,1,0.995,1.838530335239118,3.6443161426673747
2023-01-02/2023-06-23,3,2,1,0.998,1.8196127863153146,3.565147117519998
2021-01-04/2021-12-31,3,7,1,0.995,3.4746888506107663,3.526014098346158
2023-01-03/2023-06-23,3,4,1,0.995,1.7973135178828232,3.498384898422302
2021-01-06/2021-12-31,4,3,1,0.998,3.3967158414982084,3.4698018687506664
2020-01-03/2020-12-31,3,4,1,0.998,3.386490746916685,3.4121920518453854
2020-01-02/2020-12-31,3,4,1,0.998,3.386490746916685,3.400706013377206
2021-01-04/2021-12-31,3,7,2,0.995,3.35158072614347,3.3996434537088223
2020-01-03/2020-12-31,2,2,1,0.995,3.2918893905214444,3.3162902906211844
2023-01-02/2023-06-23,3,2,1,0.995,1.7497741364044126,3.280828760258711
2021-01-06/2021-12-31,4,3,1,0.995,3.210010068891507,3.2758529837910553
2020-01-03/2020-12-31,3,4,1,0.995,3.094041090412035,3.115778153768884
2020-01-07/2020-12-31,3,3,2,0.998,3.0547443759823034,3.1147129590419564
2020-01-02/2020-12-31,3,4,1,0.995,3.094041090412035,3.1060652578941697
2020-01-06/2020-12-31,3,3,2,0.998,3.0547443759823034,3.104898618799889
2017-01-03/2017-12-31,5,6,1,0.998,3.057879656269339,3.0887193270658857
2020-01-07/2020-12-31,3,8,1,0.998,3.013907302482446,3.072354243754978
2021-01-04/2021-12-31,3,8,1,0.998,3.0261900687928467,3.065898140799287
2020-01-06/2020-12-31,3,8,1,0.998,3.013907302482446,3.0627898675482133
2020-01-01/2020-12-31,2,2,2,0.998,3.0470004544744698,3.0493265740158866
2023-01-03/2023-06-23,2,3,1,0.998,1.6837110436910818,3.042983307555399
2020-01-07/2020-12-31,3,6,1,0.998,2.977085080473869,3.034168540743062
2020-01-03/2020-12-31,5,6,2,0.998,3.0112032374238233,3.0318482889703273
2020-01-06/2020-12-31,3,6,1,0.998,2.977085080473869,3.0248281214976718
2020-01-01/2020-12-31,3,6,2,0.995,3.021500310946324,3.0237895575591534
2020-01-02/2020-12-31,5,6,2,0.998,3.0112032374238233,3.0226237720863436
2021-01-04/2021-12-31,4,5,2,0.995,2.969651385385063,3.007949644307059
2017-01-04/2017-12-31,5,6,1,0.998,2.935268392254756,2.9727156336062386
2020-01-01/2020-12-31,3,6,2,0.998,2.9322854956628595,2.934446908581769
2017-01-03/2017-12-31,5,6,1,0.995,2.905317234872084,2.9332701730819597
2020-01-07/2020-12-31,3,8,1,0.995,2.872172516034903,2.9254166226075604
2020-01-06/2020-12-31,3,8,1,0.995,2.872172516034903,2.9167066974234794
2020-01-01/2020-12-31,2,2,2,0.995,2.91434023309218,2.916476155808741
2023-01-04/2023-06-23,2,3,1,0.998,1.6413373583726107,2.899739068304509
2021-01-04/2021-12-31,3,8,1,0.995,2.8579488476190336,2.8935001785544427
2020-01-03/2020-12-31,5,6,2,0.995,2.8615584713265645,2.880267380596567
2020-01-02/2020-12-31,5,6,2,0.995,2.861558471326566,2.87190869138493
2003-01-07/2003-12-31,3,5,2,0.998,2.8047212798544714,2.8639148524001534
2023-01-04/2023-06-23,4,7,1,0.998,1.628486685775419,2.8511798221447857
