date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,total_profit,yearly_profit,win_ratio
2000-08-03/2022-12-31,8,5,1,1.0,45.38471,1.1856,0.99
2000-08-03/2022-12-31,8,5,1,0.999,31.55069,1.16652,0.99
2000-08-02/2022-12-31,9,4,1,1.0,30.7551,1.16517,0.92
2000-08-03/2022-12-31,8,5,1,0.998,30.28263,1.16439,0.98
2000-08-02/2022-12-31,9,4,1,0.999,21.17683,1.14593,0.91
2000-08-04/2022-12-31,5,6,1,1.0,18.14275,1.13809,0.61
2000-08-02/2022-12-31,9,4,1,0.998,16.03986,1.13181,0.9
2000-08-01/2022-12-31,10,3,1,1.0,12.79926,1.12046,0.85
2000-08-04/2022-12-31,20,6,1,0.998,12.66494,1.11998,0.88
2000-08-04/2022-12-31,20,6,1,1.0,11.889,1.11682,0.88
2000-08-04/2022-12-31,5,6,1,0.999,11.54261,1.11535,0.33
2000-08-04/2022-12-31,20,6,1,0.999,10.17057,1.10907,0.88
2000-08-01/2022-12-31,10,3,1,0.999,10.07013,1.10853,0.79
2000-08-01/2022-12-31,11,3,1,1.0,9.85425,1.10746,0.86
2000-08-04/2022-12-31,7,6,1,1.0,9.53436,1.10587,0.77
2000-08-04/2022-12-31,5,6,1,0.998,9.41533,1.10525,0.3
2000-08-03/2022-12-31,3,6,1,1.0,8.79809,1.1019,0.13
2000-08-01/2022-12-31,10,3,1,0.998,8.32194,1.09914,0.73
2000-08-04/2022-12-31,8,13,1,1.0,8.18132,1.09835,0.74
2000-08-09/2022-12-31,11,7,1,1.0,7.9627,1.09708,0.62
2000-08-01/2022-12-31,11,3,1,0.999,7.55526,1.09441,0.76
2000-08-05/2022-12-31,35,3,1,1.0,7.40025,1.09345,0.95
2000-08-08/2022-12-31,5,8,1,1.0,7.33292,1.09304,0.95
2000-08-07/2022-12-31,5,8,1,1.0,7.33292,1.09303,0.95
2000-08-06/2022-12-31,5,8,1,1.0,7.33292,1.09302,0.95
2000-08-03/2022-12-31,15,3,1,1.0,7.3019,1.09277,0.69
2000-08-08/2022-12-31,8,15,1,1.0,6.82224,1.08952,0.92
2000-08-07/2022-12-31,8,15,1,1.0,6.82224,1.08951,0.92
2000-08-06/2022-12-31,8,15,1,1.0,6.82224,1.0895,0.92
2000-08-04/2022-12-31,3,20,2,1.0,6.76829,1.08909,0.94
2000-08-09/2022-12-31,11,7,1,0.999,6.73157,1.08888,0.4
2000-08-04/2022-12-31,7,6,1,0.999,6.64176,1.08817,0.65
2000-08-05/2022-12-31,35,3,1,0.999,6.53642,1.08741,0.95
2000-08-04/2022-12-31,8,13,1,0.999,6.37082,1.08615,0.63
2000-08-03/2022-12-31,11,9,1,0.998,6.18535,1.08471,0.51
2000-08-03/2022-12-31,11,9,1,1.0,6.11205,1.08413,0.7
2000-08-01/2022-12-31,11,10,1,1.0,6.01167,1.08331,0.88
2000-08-01/2022-12-31,11,3,1,0.998,5.98918,1.08313,0.69
2000-08-05/2022-12-31,35,3,1,0.998,5.83594,1.08192,0.95
2000-08-03/2022-12-31,11,11,1,1.0,5.7131,1.08087,0.66
2000-08-05/2022-12-31,17,5,1,1.0,5.63378,1.08022,0.88
