date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee_%,num_tickers,nsmallest/nlargest,total_profit,yearly_profit,win_ratio
2000-08-01/2022-12-31,10,3,1,0.998,0.6,208,nlargest,8.32194,1.09914,0.73
2000-08-01/2022-12-31,10,3,1,0.995,0.6,208,nlargest,3.78255,1.06115,0.53
2000-08-01/2022-12-31,10,3,1,0.99,0.6,208,nlargest,2.07797,1.03317,0.14
2000-08-01/2022-12-31,7,5,1,0.998,0.6,208,nlargest,1.83398,1.02743,0.19
2000-08-02/2022-12-31,10,13,1,0.998,0.6,208,nlargest,1.78398,1.02616,0.18
2000-08-01/2022-12-31,20,10,1,0.998,0.6,208,nlargest,1.61099,1.0215,0.12
2000-08-01/2022-12-31,3,13,1,0.998,0.6,208,nlargest,1.51688,1.01876,0.2
2000-08-01/2022-12-31,5,10,1,0.998,0.6,208,nlargest,1.50699,1.01847,0.89
2000-08-01/2022-12-31,10,13,2,0.998,0.6,208,nlargest,1.40308,1.01522,0.18
2000-08-01/2022-12-31,5,10,2,0.998,0.6,208,nlargest,1.36979,1.01414,0.34
2000-08-01/2022-12-31,7,10,1,0.998,0.6,208,nlargest,1.362,1.01388,0.55
2000-08-01/2022-12-31,3,5,1,0.998,0.6,208,nlargest,1.33359,1.01293,0.14
2000-08-02/2022-12-31,10,13,1,0.995,0.6,208,nlargest,1.22606,1.00913,0.16
2000-08-01/2022-12-31,5,7,1,0.998,0.6,208,nlargest,1.22551,1.00911,0.64
2000-08-01/2022-12-31,7,20,1,0.998,0.6,208,nlargest,1.20307,1.00828,0.57
2000-08-01/2022-12-31,7,10,3,0.998,0.6,208,nlargest,1.12898,1.00543,0.16
2000-08-02/2022-12-31,10,13,2,0.998,0.6,208,nlargest,1.11651,1.00493,0.12
2000-08-01/2022-12-31,20,10,1,0.995,0.6,208,nlargest,1.10014,1.00427,0.12
2000-08-02/2022-12-31,10,13,3,0.998,0.6,208,nlargest,1.08286,1.00356,0.12
2000-08-01/2022-12-31,10,7,1,0.998,0.6,208,nlargest,1.03775,1.00165,0.09
2000-08-01/2022-12-31,10,13,2,0.995,0.6,208,nlargest,1.02337,1.00103,0.02
2000-08-01/2022-12-31,10,7,1,0.99,0.6,208,nlargest,0.98512,0.99933,0.21
2000-08-01/2022-12-31,13,20,2,0.998,0.6,208,nlargest,0.94547,0.9975,0.32
2000-08-01/2022-12-31,7,20,1,0.98,0.6,208,nlargest,0.89287,0.99496,0.34
2000-08-01/2022-12-31,13,20,5,0.998,0.6,208,nlargest,0.88594,0.99461,0.14
2000-08-01/2022-12-31,13,20,4,0.998,0.6,208,nlargest,0.8847,0.99455,0.39
2000-08-01/2022-12-31,13,20,3,0.998,0.6,208,nlargest,0.87759,0.99419,0.03
2000-08-01/2022-12-31,10,3,2,0.998,0.6,208,nlargest,0.8506,0.99281,0.01
2000-08-02/2022-12-31,5,13,1,0.998,0.6,208,nlargest,0.84979,0.99276,0.32
2000-08-01/2022-12-31,3,13,1,0.995,0.6,208,nlargest,0.83364,0.99192,0.01
2000-08-01/2022-12-31,10,13,2,0.99,0.6,208,nlargest,0.8301,0.99173,0.08
2000-08-01/2022-12-31,7,10,3,0.995,0.6,208,nlargest,0.80814,0.99054,0.0
2000-08-01/2022-12-31,5,7,2,0.998,0.6,208,nlargest,0.80176,0.99019,0.14
2000-08-01/2022-12-31,7,10,1,0.995,0.6,208,nlargest,0.79681,0.98992,0.04
2000-08-01/2022-12-31,7,10,2,0.998,0.6,208,nlargest,0.79377,0.98975,0.19
2000-08-01/2022-12-31,13,7,2,0.998,0.6,208,nlargest,0.79198,0.98965,0.04
2000-08-01/2022-12-31,13,5,1,0.995,0.6,208,nlargest,0.78486,0.98925,0.56
2000-08-02/2022-12-31,3,10,2,0.998,0.6,208,nlargest,0.78085,0.98902,0.48
2000-08-01/2022-12-31,10,7,1,0.995,0.6,208,nlargest,0.76305,0.98801,0.02
2000-08-02/2022-12-31,10,13,2,0.995,0.6,208,nlargest,0.75732,0.98767,0.0
2000-08-01/2022-12-31,5,13,3,0.998,0.6,208,nlargest,0.75525,0.98755,0.14
2000-08-02/2022-12-31,13,20,3,0.998,0.6,208,nlargest,0.74444,0.98692,0.0
2000-08-02/2022-12-31,10,20,1,0.998,0.6,208,nlargest,0.74174,0.98676,0.0
2000-08-01/2022-12-31,3,10,2,0.998,0.6,208,nlargest,0.74082,0.98671,0.71
2000-08-01/2022-12-31,20,5,2,0.998,0.6,208,nlargest,0.73631,0.98644,0.06
2000-08-01/2022-12-31,13,20,1,0.998,0.6,208,nlargest,0.73493,0.98635,0.27
2000-08-01/2022-12-31,13,5,1,0.998,0.6,208,nlargest,0.73159,0.98615,0.52
2000-08-02/2022-12-31,10,13,3,0.995,0.6,208,nlargest,0.72676,0.98586,0.0
2000-08-01/2022-12-31,5,7,1,0.995,0.6,208,nlargest,0.72504,0.98576,0.32
2000-08-01/2022-12-31,7,5,1,0.995,0.6,208,nlargest,0.72152,0.98554,0.05
2000-08-01/2022-12-31,20,20,1,0.998,0.6,208,nlargest,0.72124,0.98553,0.46
2000-08-01/2022-12-31,10,13,4,0.998,0.6,208,nlargest,0.7144,0.98511,0.0
2000-08-01/2022-12-31,10,13,2,0.98,0.6,208,nlargest,0.71119,0.98491,0.14
2000-08-01/2022-12-31,20,10,2,0.998,0.6,208,nlargest,0.70734,0.98467,0.02
2000-08-01/2022-12-31,13,20,2,0.99,0.6,208,nlargest,0.70643,0.98461,0.15
2000-08-02/2022-12-31,13,20,3,0.99,0.6,208,nlargest,0.68699,0.98339,0.01
2000-08-01/2022-12-31,20,10,3,0.998,0.6,208,nlargest,0.67319,0.9825,0.01
2000-08-01/2022-12-31,7,20,1,0.995,0.6,208,nlargest,0.67168,0.9824,0.26
2000-08-01/2022-12-31,7,10,4,0.998,0.6,208,nlargest,0.67036,0.98232,0.05
2000-08-01/2022-12-31,10,13,1,0.998,0.6,208,nlargest,0.66819,0.98217,0.0
2000-08-01/2022-12-31,5,13,2,0.998,0.6,208,nlargest,0.66802,0.98216,0.43
2000-08-02/2022-12-31,7,7,3,0.998,0.6,208,nlargest,0.66634,0.98205,0.23
2000-08-02/2022-12-31,13,20,3,0.98,0.6,208,nlargest,0.66464,0.98194,0.02
2000-08-01/2022-12-31,13,20,4,0.995,0.6,208,nlargest,0.66223,0.98178,0.11
2000-08-01/2022-12-31,20,3,1,0.998,0.6,208,nlargest,0.65459,0.98127,0.02
2000-08-01/2022-12-31,13,7,2,0.995,0.6,208,nlargest,0.65094,0.98103,0.01
2000-08-02/2022-12-31,3,10,3,0.998,0.6,208,nlargest,0.64841,0.98086,0.53
2000-08-02/2022-12-31,13,20,4,0.998,0.6,208,nlargest,0.64655,0.98073,0.0
2000-08-01/2022-12-31,13,20,5,0.995,0.6,208,nlargest,0.63837,0.98017,0.0
2000-08-02/2022-12-31,13,20,3,0.995,0.6,208,nlargest,0.63443,0.9799,0.0
2000-08-01/2022-12-31,13,20,3,0.995,0.6,208,nlargest,0.62747,0.97942,0.0
2000-08-01/2022-12-31,20,5,3,0.998,0.6,208,nlargest,0.62733,0.97941,0.0
2000-08-02/2022-12-31,10,13,4,0.998,0.6,208,nlargest,0.62534,0.97927,0.0
2000-08-01/2022-12-31,10,13,3,0.998,0.6,208,nlargest,0.62522,0.97927,0.0
2000-08-01/2022-12-31,20,10,1,0.99,0.6,208,nlargest,0.62196,0.97904,0.0
2000-08-01/2022-12-31,7,10,2,0.995,0.6,208,nlargest,0.61839,0.97879,0.08
2000-08-02/2022-12-31,13,20,2,0.99,0.6,208,nlargest,0.61427,0.97849,0.01
2000-08-02/2022-12-31,10,13,1,0.99,0.6,208,nlargest,0.6133,0.97842,0.01
2000-08-01/2022-12-31,7,13,1,0.998,0.6,208,nlargest,0.61115,0.97827,0.15
2000-08-01/2022-12-31,13,20,4,0.99,0.6,208,nlargest,0.60917,0.97813,0.12
