date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee_%,num_tickers,nsmallest/nlargest,total_profit,yearly_profit,win_ratio
2000-08-08/2022-12-31,2,4,1,1.0,0.3,208,nsmallest,2508.29165,1.41836,1.0
2000-08-07/2022-12-31,2,4,1,1.0,0.3,208,nsmallest,2508.29165,1.4183,1.0
2000-08-06/2022-12-31,2,4,1,1.0,0.3,208,nsmallest,2508.29165,1.41824,1.0
2000-08-05/2022-12-31,2,3,1,1.0,0.3,208,nsmallest,2480.46786,1.41748,1.0
2000-08-05/2022-12-31,2,4,1,1.0,0.3,208,nsmallest,2319.98381,1.41325,0.99
2000-08-07/2022-12-31,3,5,1,1.0,0.3,208,nsmallest,1993.85184,1.40384,1.0
2000-08-06/2022-12-31,3,5,1,1.0,0.3,208,nsmallest,1993.85184,1.40378,1.0
2000-08-08/2022-12-31,3,5,1,1.0,0.3,208,nsmallest,1966.01873,1.40302,1.0
2000-08-05/2022-12-31,2,6,1,1.0,0.3,208,nsmallest,1791.00476,1.39702,0.98
2000-08-08/2022-12-31,2,4,1,0.999,0.3,208,nsmallest,1347.14389,1.37954,1.0
2000-08-07/2022-12-31,2,4,1,0.999,0.3,208,nsmallest,1347.14389,1.37948,1.0
2000-08-06/2022-12-31,2,4,1,0.999,0.3,208,nsmallest,1347.14389,1.37943,1.0
2000-08-03/2022-12-31,3,4,1,1.0,0.3,208,nsmallest,1278.4788,1.37605,1.0
2000-08-05/2022-12-31,2,3,1,0.999,0.3,208,nsmallest,1223.38514,1.37345,1.0
2000-08-05/2022-12-31,4,4,1,1.0,0.3,208,nsmallest,1193.34614,1.37193,0.99
2000-08-05/2022-12-31,3,3,1,1.0,0.3,208,nsmallest,1139.40595,1.3691,1.0
2000-08-05/2022-12-31,2,4,1,0.999,0.3,208,nsmallest,1131.13146,1.36866,0.99
2000-08-03/2022-12-31,3,3,1,1.0,0.3,208,nsmallest,1063.19835,1.36477,1.0
2000-08-07/2022-12-31,3,5,1,0.999,0.3,208,nsmallest,1042.59071,1.36379,1.0
2000-08-06/2022-12-31,3,5,1,0.999,0.3,208,nsmallest,1042.59071,1.36374,1.0
2000-08-05/2022-12-31,2,6,1,0.999,0.3,208,nsmallest,1043.2425,1.36372,0.97
2000-08-08/2022-12-31,3,5,1,0.999,0.3,208,nsmallest,1027.00867,1.36292,1.0
2000-08-05/2022-12-31,2,3,1,0.998,0.3,208,nsmallest,937.16064,1.35721,1.0
2000-08-04/2022-12-31,2,5,1,1.0,0.3,208,nsmallest,922.12418,1.35618,1.0
2000-08-05/2022-12-31,4,4,1,0.999,0.3,208,nsmallest,861.98361,1.35216,0.99
2000-08-08/2022-12-31,2,4,1,0.998,0.3,208,nsmallest,844.35367,1.35106,0.99
2000-08-07/2022-12-31,2,4,1,0.998,0.3,208,nsmallest,844.35367,1.35101,0.99
2000-08-06/2022-12-31,2,4,1,0.998,0.3,208,nsmallest,844.35367,1.35096,0.99
2000-08-04/2022-12-31,2,4,1,1.0,0.3,208,nsmallest,766.92897,1.34507,1.0
2000-08-07/2022-12-31,3,5,1,0.998,0.3,208,nsmallest,745.67882,1.34353,1.0
2000-08-06/2022-12-31,3,5,1,0.998,0.3,208,nsmallest,745.67882,1.34348,1.0
2000-08-08/2022-12-31,3,5,1,0.998,0.3,208,nsmallest,733.79901,1.34262,1.0
2000-08-03/2022-12-31,3,4,1,0.999,0.3,208,nsmallest,729.65666,1.34204,1.0
2000-08-03/2022-12-31,2,3,1,1.0,0.3,208,nsmallest,714.73412,1.3408,1.0
2000-08-05/2022-12-31,2,6,1,0.998,0.3,208,nsmallest,699.51998,1.33961,0.97
2000-08-05/2022-12-31,2,4,1,0.998,0.3,208,nsmallest,691.50701,1.33892,0.99
2000-08-01/2022-12-31,4,3,1,1.0,0.3,208,nsmallest,632.09011,1.33337,1.0
2000-08-05/2022-12-31,4,4,1,0.998,0.3,208,nsmallest,599.96572,1.33046,0.99
2000-08-09/2022-12-31,4,5,1,1.0,0.3,208,nsmallest,593.24439,1.32998,0.99
2000-08-05/2022-12-31,3,3,1,0.999,0.3,208,nsmallest,585.01898,1.32896,1.0
2000-08-03/2022-12-31,3,3,1,0.999,0.3,208,nsmallest,580.76717,1.32844,1.0
2000-08-05/2022-12-31,3,3,2,1.0,0.3,208,nsmallest,558.01934,1.32616,1.0
2000-08-03/2022-12-31,3,4,1,0.998,0.3,208,nsmallest,557.15012,1.32598,1.0
2000-08-02/2022-12-31,4,3,2,1.0,0.3,208,nsmallest,551.68456,1.32535,0.99
2000-08-02/2022-12-31,6,7,1,1.0,0.3,208,nsmallest,549.20372,1.32509,0.94
2000-08-05/2022-12-31,2,8,1,1.0,0.3,208,nsmallest,507.41381,1.32055,0.99
2000-08-04/2022-12-31,5,3,1,1.0,0.3,208,nsmallest,490.20199,1.31847,0.99
2000-08-02/2022-12-31,4,3,1,1.0,0.3,208,nsmallest,490.06537,1.31837,0.99
2000-08-09/2022-12-31,2,6,1,1.0,0.3,208,nsmallest,467.13187,1.31586,0.99
2000-08-04/2022-12-31,3,7,1,1.0,0.3,208,nsmallest,461.04094,1.31487,0.96
2000-08-03/2022-12-31,3,4,2,1.0,0.3,208,nsmallest,453.54475,1.31386,1.0
2000-08-04/2022-12-31,2,5,2,1.0,0.3,208,nsmallest,419.38225,1.30932,1.0
2000-08-02/2022-12-31,6,7,1,0.999,0.3,208,nsmallest,417.0393,1.30891,0.94
2000-08-04/2022-12-31,2,5,1,0.999,0.3,208,nsmallest,412.60128,1.30837,1.0
2000-08-09/2022-12-31,4,3,1,1.0,0.3,208,nsmallest,402.49402,1.30714,1.0
2000-08-04/2022-12-31,2,4,1,0.999,0.3,208,nsmallest,396.19554,1.306,1.0
2000-08-09/2022-12-31,2,6,1,0.999,0.3,208,nsmallest,391.54208,1.30553,0.99
2000-08-05/2022-12-31,2,3,2,1.0,0.3,208,nsmallest,392.53806,1.3055,1.0
2000-08-07/2022-12-31,3,5,2,1.0,0.3,208,nsmallest,384.97622,1.30446,1.0
2000-08-06/2022-12-31,3,5,2,1.0,0.3,208,nsmallest,384.97622,1.30441,1.0
2000-08-08/2022-12-31,3,5,2,1.0,0.3,208,nsmallest,382.2703,1.30409,1.0
2000-08-05/2022-12-31,6,3,1,1.0,0.3,208,nsmallest,381.87898,1.3039,0.98
2000-08-01/2022-12-31,3,4,1,1.0,0.3,208,nsmallest,374.90479,1.30266,1.0
2000-08-08/2022-12-31,4,3,1,1.0,0.3,208,nsmallest,372.86489,1.30264,0.99
2000-08-07/2022-12-31,4,3,1,1.0,0.3,208,nsmallest,372.86489,1.3026,0.99
2000-08-06/2022-12-31,4,3,1,1.0,0.3,208,nsmallest,372.86489,1.30255,0.99
2000-08-09/2022-12-31,4,5,1,0.999,0.3,208,nsmallest,371.50217,1.30247,0.99
2000-08-03/2022-12-31,5,8,1,1.0,0.3,208,nsmallest,358.40983,1.30013,0.96
2000-08-03/2022-12-31,3,3,1,0.998,0.3,208,nsmallest,356.53379,1.29983,1.0
2000-08-07/2022-12-31,5,4,1,1.0,0.3,208,nsmallest,350.24129,1.29896,1.0
2000-08-06/2022-12-31,5,4,1,1.0,0.3,208,nsmallest,350.24129,1.29892,1.0
2000-08-01/2022-12-31,4,3,1,0.999,0.3,208,nsmallest,344.51947,1.29776,1.0
2000-08-05/2022-12-31,2,8,1,0.999,0.3,208,nsmallest,335.03561,1.29631,0.99
2000-08-02/2022-12-31,4,3,2,0.999,0.3,208,nsmallest,329.5649,1.29523,0.99
2000-08-05/2022-12-31,3,3,1,0.998,0.3,208,nsmallest,328.28689,1.29513,1.0
2000-08-03/2022-12-31,8,3,1,1.0,0.3,208,nsmallest,322.88316,1.29409,1.0
2000-08-02/2022-12-31,2,3,1,1.0,0.3,208,nsmallest,317.69625,1.29311,1.0
2000-08-08/2022-12-31,4,4,1,1.0,0.3,208,nsmallest,312.49354,1.2924,1.0
2000-08-07/2022-12-31,4,4,1,1.0,0.3,208,nsmallest,312.49354,1.29236,1.0
2000-08-06/2022-12-31,4,4,1,1.0,0.3,208,nsmallest,312.49354,1.29232,1.0
2000-08-09/2022-12-31,2,3,1,1.0,0.3,208,nsmallest,307.62689,1.29154,0.99
2000-08-04/2022-12-31,5,3,1,0.999,0.3,208,nsmallest,302.08549,1.29029,0.99
2000-08-02/2022-12-31,4,3,1,0.999,0.3,208,nsmallest,300.56499,1.28992,0.99
2000-08-08/2022-12-31,5,4,1,1.0,0.3,208,nsmallest,296.97878,1.28947,0.99
2000-08-03/2022-12-31,2,3,1,0.999,0.3,208,nsmallest,297.09883,1.28929,1.0
2000-08-04/2022-12-31,2,5,1,0.998,0.3,208,nsmallest,291.61685,1.28826,1.0
2000-08-01/2022-12-31,5,5,1,1.0,0.3,208,nsmallest,287.97243,1.28742,0.98
2000-08-05/2022-12-31,2,6,2,1.0,0.3,208,nsmallest,286.59431,1.2873,0.99
2000-08-02/2022-12-31,6,7,1,0.998,0.3,208,nsmallest,284.46396,1.28676,0.94
2000-08-04/2022-12-31,3,7,1,0.998,0.3,208,nsmallest,281.49947,1.28623,0.96
2000-08-04/2022-12-31,3,7,1,0.999,0.3,208,nsmallest,280.68658,1.28607,0.96
2000-08-05/2022-12-31,3,3,2,0.999,0.3,208,nsmallest,280.11484,1.28599,1.0
2000-08-03/2022-12-31,5,8,1,0.999,0.3,208,nsmallest,275.4171,1.28494,0.96
2000-08-04/2022-12-31,5,4,1,1.0,0.3,208,nsmallest,274.10404,1.28471,1.0
2000-08-05/2022-12-31,15,4,1,0.999,0.3,208,nsmallest,267.96391,1.28345,0.99
2000-08-08/2022-12-31,2,5,1,1.0,0.3,208,nsmallest,264.79469,1.28288,0.99
2000-08-07/2022-12-31,2,5,1,1.0,0.3,208,nsmallest,264.79469,1.28284,0.99
2000-08-06/2022-12-31,2,5,1,1.0,0.3,208,nsmallest,264.79469,1.2828,0.99
2000-08-09/2022-12-31,4,5,1,0.998,0.3,208,nsmallest,263.7545,1.2827,0.99
2000-08-03/2022-12-31,2,9,1,1.0,0.3,208,nsmallest,261.6261,1.282,1.0
2000-08-03/2022-12-31,3,4,2,0.999,0.3,208,nsmallest,258.13403,1.28123,1.0
2000-08-05/2022-12-31,15,4,1,1.0,0.3,208,nsmallest,257.13131,1.28108,0.99
2000-08-01/2022-12-31,4,9,1,1.0,0.3,208,nsmallest,250.0342,1.27933,1.0
2000-08-04/2022-12-31,3,3,1,1.0,0.3,208,nsmallest,248.60112,1.27912,0.99
2000-08-02/2022-12-31,4,3,2,0.998,0.3,208,nsmallest,248.19002,1.27895,0.99
2000-08-01/2022-12-31,2,4,1,1.0,0.3,208,nsmallest,247.95174,1.27885,1.0
2000-08-03/2022-12-31,7,10,1,1.0,0.3,208,nsmallest,247.33055,1.27879,0.94
2000-08-05/2022-12-31,6,3,1,0.999,0.3,208,nsmallest,241.09117,1.27741,0.98
2000-08-09/2022-12-31,2,4,1,1.0,0.3,208,nsmallest,240.02219,1.27731,1.0
2000-08-05/2022-12-31,3,10,1,1.0,0.3,208,nsmallest,238.66132,1.27683,0.85
2000-08-04/2022-12-31,2,5,2,0.999,0.3,208,nsmallest,235.88591,1.27612,1.0
2000-08-02/2022-12-31,4,3,1,0.998,0.3,208,nsmallest,236.16472,1.27612,0.99
2000-08-03/2022-12-31,8,3,1,0.999,0.3,208,nsmallest,228.8789,1.27437,1.0
2000-08-08/2022-12-31,2,6,1,1.0,0.3,208,nsmallest,227.92536,1.27432,0.96
2000-08-07/2022-12-31,2,6,1,1.0,0.3,208,nsmallest,227.92536,1.27428,0.96
2000-08-06/2022-12-31,2,6,1,1.0,0.3,208,nsmallest,227.92536,1.27425,0.96
2000-08-09/2022-12-31,2,6,1,0.998,0.3,208,nsmallest,226.95811,1.27412,0.99
2000-08-05/2022-12-31,2,4,2,1.0,0.3,208,nsmallest,227.25875,1.27404,0.98
2000-08-08/2022-12-31,4,3,1,0.999,0.3,208,nsmallest,223.66855,1.27325,0.98
2000-08-07/2022-12-31,4,3,1,0.999,0.3,208,nsmallest,223.66855,1.27321,0.98
2000-08-06/2022-12-31,4,3,1,0.999,0.3,208,nsmallest,223.66855,1.27317,0.98
2000-08-03/2022-12-31,2,3,1,0.998,0.3,208,nsmallest,223.83382,1.2731,1.0
2000-08-09/2022-12-31,4,3,1,0.999,0.3,208,nsmallest,221.79007,1.27281,1.0
2000-08-07/2022-12-31,5,4,1,0.999,0.3,208,nsmallest,221.9956,1.27279,1.0
