date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,total_profit,yearly_profit,win_ratio
2001-01-02/2001-12-31,6,7,1,0.999,7.44835,7.54164,1.0
2001-01-02/2001-12-31,6,7,1,0.998,7.38152,7.47355,1.0
2001-01-02/2001-12-31,6,7,1,0.997,7.31522,7.40601,1.0
2001-01-03/2001-12-31,6,7,1,0.999,7.17905,7.30723,0.95
2001-01-03/2001-12-31,6,7,1,0.998,7.10751,7.23377,0.95
2001-01-03/2001-12-31,6,7,1,0.997,7.03662,7.16096,0.95
2022-01-04/2022-12-31,3,3,1,0.999,6.49179,6.63633,0.93
2023-01-02/2023-06-23,7,3,2,0.999,2.40222,6.43054,0.82
2022-01-04/2022-12-31,3,3,1,0.998,6.28074,6.41809,0.93
2023-01-02/2023-06-23,7,3,2,0.998,2.38272,6.3202,0.82
2022-01-03/2022-12-31,3,3,1,0.999,6.13712,6.2379,0.83
2023-01-02/2023-06-23,7,3,2,0.997,2.36336,6.21167,0.82
2022-01-04/2022-12-31,3,3,1,0.997,6.07636,6.20682,0.9
2002-01-03/2002-12-31,2,6,1,0.999,5.96971,6.06624,0.9
2002-01-02/2002-12-31,2,6,1,0.999,5.96971,6.03619,0.9
2022-01-03/2022-12-31,3,3,1,0.998,5.93166,6.02723,0.83
2005-01-06/2005-12-31,4,2,1,0.999,5.83507,6.01703,0.98
2022-01-03/2022-12-31,5,2,1,0.999,5.90781,6.00278,0.86
2014-01-07/2014-12-31,3,4,1,0.998,5.77774,5.98666,1.0
2002-01-03/2002-12-31,2,6,1,0.998,5.8221,5.91492,0.9
2014-01-07/2014-12-31,3,4,1,0.999,5.70738,5.91229,1.0
2002-01-02/2002-12-31,2,6,1,0.998,5.8221,5.88602,0.9
2005-01-06/2005-12-31,4,2,1,0.998,5.68759,5.86234,0.98
2022-01-03/2022-12-31,5,2,1,0.998,5.76173,5.85304,0.83
2014-01-07/2014-12-31,3,4,1,0.997,5.62345,5.8236,1.0
2022-01-03/2022-12-31,3,3,1,0.997,5.73288,5.82347,0.83
2005-01-05/2005-12-31,3,4,1,0.997,5.6651,5.81021,0.78
2002-01-03/2002-12-31,2,6,1,0.997,5.678,5.76722,0.9
2014-01-06/2014-12-31,3,4,1,0.998,5.5961,5.76642,0.94
2023-01-04/2023-06-23,7,3,1,0.998,2.25823,5.75548,1.0
2002-01-02/2002-12-31,2,6,1,0.997,5.678,5.73945,0.9
2022-01-04/2022-12-31,5,2,1,0.999,5.62234,5.73781,0.63
2022-01-03/2022-12-31,5,2,1,0.997,5.61912,5.70688,0.8
2014-01-06/2014-12-31,3,4,1,0.999,5.53349,5.70078,0.94
