,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All
watch_days,hold_days,num_stocks_to_buy,loss_limit,fee_%,num_tickers,nsmallest/nlargest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,1,1.0,0.3,208,nsmallest,1.34507,,,,,,,,,,,,,,,,,,,,,,,,1.34507,1.3208322222222222,,,,,,,,,,,,,,,,,,,,,,,,1.3208322222222222,1.11494,,,,,,,,,,,,,,,,,,,,,,,,1.11494,1.41836,,,,,,,,,,,,,,,,,,,,,,,,1.41836,9.0,,,,,,,,,,,,,,,,,,,,,,,,9
2,2,1,0.999,0.2,208,nsmallest,1.43467,2.13087,1.2854,1.00238,1.25869,1.03979,1.32684,1.14558,1.42415,1.33475,1.03489,1.1957,1.34439,1.02609,1.15527,1.11834,1.58043,0.99943,1.1135,1.35691,3.23359,1.39393,1.30066,1.39974,1.30591,1.4368434782608694,2.107614,2.182974,1.371832,1.4271639999999999,2.109198,1.374148,1.190828,2.452452,1.571208,1.114972,1.301728,1.367084,1.031218,1.249766,1.139522,1.869304,1.1059940000000001,1.08918,1.382134,2.7511140000000003,1.470948,1.531662,1.362604,1.5276857971014492,1.2491,1.78502,1.18827,0.80688,0.98347,1.01295,1.27647,0.91052,1.21075,1.28787,1.03364,1.00203,0.83717,0.892,1.06321,1.04459,0.93329,0.94211,0.90643,1.04151,1.05271,1.23528,1.08271,0.70537,0.70537,1.58643,2.41957,3.92987,2.28633,2.51241,6.43372,1.47811,1.62696,4.19158,1.97374,1.32127,1.59327,1.89584,1.26566,1.72486,1.24286,3.32015,1.55272,1.16572,1.64482,4.89138,2.08558,2.79079,2.07715,6.43372,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,138
4,3,1,1.0,0.3,208,nsmallest,1.3026,,,,,,,,,,,,,,,,,,,,,,,,1.3026,1.2683733333333334,,,,,,,,,,,,,,,,,,,,,,,,1.2683733333333334,1.12923,,,,,,,,,,,,,,,,,,,,,,,,1.12923,1.33337,,,,,,,,,,,,,,,,,,,,,,,,1.33337,9.0,,,,,,,,,,,,,,,,,,,,,,,,9
2,4,1,0.999,0.2,208,nsmallest,1.34823,2.12479,2.1546,1.1677,1.10948,1.15334,1.29454,1.23351,1.29279,1.54062,1.05767,1.15164,1.12249,0.96377,0.8754,1.1435,1.99265,1.21998,1.11827,1.20559,1.90012,1.16175,1.12148,1.05076,1.29258,1.3667304347826086,2.199966,1.87548,1.5587719999999998,1.259132,1.7732700000000001,1.330346,1.2858740000000002,1.739448,1.544086,1.016244,1.143754,1.2587160000000002,1.011782,0.90228,1.20064,1.725038,1.3447900000000002,1.256294,1.320624,2.237426,1.339502,1.507354,1.055268,1.419313260869565,1.17423,1.8006,0.98188,0.93819,0.92944,0.91127,1.22531,0.92974,0.94143,1.45703,0.85211,1.0081,0.97506,0.9119,0.83343,1.09634,1.10786,0.91441,0.98118,0.86206,1.1566,0.88635,0.85536,0.74916,0.74916,1.49057,2.79493,2.81427,3.19577,1.62372,4.54981,1.49159,1.61497,2.67111,1.70518,1.08774,1.24686,1.73135,1.14176,1.02721,1.34783,2.10166,2.31004,1.56356,1.9298,3.31221,2.01674,2.56599,1.4162,4.54981,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,138
3,2,1,0.998,0.2,208,nsmallest,1.3115,1.82157,1.79396,1.34036,1.18476,1.46762,1.38834,1.08317,1.21936,1.4884,1.34983,1.32995,1.06747,0.99652,0.95027,1.00362,1.03867,1.27039,1.00807,1.69757,1.53425,1.09935,1.09771,1.49929,1.28654,1.3104756521739132,1.755648,1.7739359999999997,1.267074,1.253634,2.009038,1.378774,1.125248,1.280758,1.3848340000000001,1.7849879999999998,1.265996,1.04672,1.0420719999999999,1.324248,1.071668,1.480236,1.55515,1.030958,1.416854,1.432726,1.322114,2.01994,1.3296459999999999,1.3905959420289855,1.23749,1.42042,0.86116,1.07228,1.01412,1.08917,1.04391,0.95513,0.80897,1.0106,0.96966,0.85669,0.88499,0.83551,0.87533,0.90536,0.98452,1.00967,0.94136,0.85206,0.80398,1.03846,0.84814,0.6598,0.6598,1.41171,2.20009,2.75174,1.39884,1.52121,4.56455,1.70562,1.50338,1.93624,1.76207,2.82627,1.53811,1.20396,1.35055,2.01993,1.41593,2.17855,3.031,1.14566,1.7378,1.86253,1.92788,5.27517,1.78968,5.27517,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,138
3,2,1,0.999,0.2,208,nsmallest,1.33954,1.87655,1.86192,1.32268,1.22505,1.13102,1.42707,1.14649,1.26855,1.51206,1.39884,1.21581,1.08488,1.0322,0.98627,1.02844,1.08188,1.32026,1.04953,1.50805,1.59381,1.14496,1.16634,1.55937,1.285885,1.3360017391304349,1.757274,1.8413979999999999,1.2984760000000002,1.2985060000000002,1.941876,1.4161899999999998,1.1637879999999998,1.33054,1.410062,1.86923,1.2485240000000002,1.0829,1.0621019999999999,1.36173,1.1084960000000001,1.5295359999999998,1.6133279999999999,1.0728,1.360206,1.457516,1.3578160000000001,2.1086840000000002,1.368986,1.4204917391304348,1.24567,1.32795,0.89434,1.10854,1.05201,1.09745,1.07091,0.99086,0.83724,1.00169,0.9899,0.85983,0.92152,0.87096,0.90896,0.93196,1.01286,1.03652,0.98011,0.89261,0.83139,1.08214,0.88252,0.68585,0.68585,1.45427,2.18668,2.84531,1.44385,1.5719,4.47209,1.75443,1.4961,2.01064,1.82047,2.98227,1.60227,1.24995,1.39687,2.09347,1.47183,2.2456,3.15032,1.19546,1.78737,1.93212,2.00077,5.51501,1.82357,5.51501,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,138
3,2,2,0.999,0.2,208,nsmallest,1.31231,1.84633,1.75469,1.44346,1.33489,1.2935,1.30284,1.18952,1.29409,1.53603,1.17582,1.23809,1.2177,1.0708,1.03018,1.07603,1.0921,1.10296,1.00034,1.24272,1.5543,1.10241,1.26963,1.05309,1.2830949999999999,1.30274,1.863816,1.733548,1.405208,1.295068,1.608,1.3413499999999998,1.178524,1.3860160000000001,1.490048,1.439524,1.199662,1.171304,1.099216,1.159734,1.1294119999999999,1.33527,1.3786479999999999,1.010674,1.246292,1.497242,1.192572,1.495426,1.2333640000000001,1.3363232608695652,1.24721,1.50185,0.99669,1.03008,1.202,0.99307,1.0974,1.00484,1.06333,1.36755,1.01895,0.97224,0.9999,0.92654,0.91839,1.04685,1.05139,1.05896,0.93008,1.11526,1.16009,1.03295,0.85345,0.76421,0.76421,1.38869,2.27784,2.36637,1.60201,1.36045,3.19503,1.64975,1.29071,1.85748,1.59056,1.99319,1.39123,1.3748,1.35417,1.51346,1.30508,1.74345,2.40866,1.07129,1.51228,1.62711,1.5251,2.8729,1.95234,3.19503,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,138
2,3,1,0.999,0.2,208,nsmallest,1.28548,2.26497,2.48389,1.49528,1.45025,1.08501,1.31655,1.37655,0.97201,1.23366,0.9602,1.33101,1.28261,0.92792,1.01219,1.18794,1.34037,1.07848,1.21551,1.04756,1.17098,1.20527,1.34144,1.05967,1.282675,1.3449504347826087,2.271906,2.314798,1.516404,1.409546,1.9098140000000001,1.377726,1.32534,1.4598740000000001,1.4821680000000002,1.095402,1.315668,1.213486,0.9995459999999999,1.0981400000000001,1.1596220000000002,1.565536,1.563382,1.169178,1.33042,1.9049140000000002,1.463784,1.489406,1.603726,1.4574839855072463,1.26389,1.20811,1.38213,1.11292,1.02182,0.91279,1.12872,0.99308,0.76767,1.16379,0.84038,0.9606,0.93013,0.9218,0.86616,0.96364,0.87076,0.77266,0.93264,0.94315,0.71735,0.85428,0.95557,0.79167,0.71735,1.50323,3.43992,3.07048,2.06178,1.8961,5.38834,1.82024,1.47876,2.89855,2.05108,1.53147,1.68932,1.34155,1.24311,1.41413,1.44326,2.34076,3.8919,1.30843,2.43707,4.87765,2.24204,2.37304,3.66621,5.38834,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,138
