,,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All
rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nsmallest,-99.0,2,2,1,0.999,0.002,1254,6.4792,4.3042,5.1472,3.1644,5.9815,12.2499,20.7634,3.7513,6.5377,3.4209,4.4404,5.8948,245.3776,6.3252,8.37526,13.621020000000001,9.6115,4.9054400000000005,5.7389399999999995,13.76982,44.557159999999996,3.6787599999999996,7.5141599999999995,4.7435,3.91754,638436646.338,24029574186.31438,1897539304.0834985,5.9468,3.2273,3.359,1.2551,3.1723,11.8652,13.9894,1.9316,5.2314,1.5875,2.3158,2.784,3.3864,1.2551,15.8118,48.7809,17.8343,9.2339,7.9932,17.7431,96.8165,5.7376,11.7254,8.321,5.5529,3192183212.1253,120147328578.2543,120147328578.2543,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,1,1,0.999,0.002,1254,7.7185,4.5956,7.3524,3.3572,11.5322,1.9018,43.7344,3.2745,3.4669,5.5947,5.4919,11.1058,50.1242,6.2033,9.82528,9.38286,8.06048,3.12516,9.561539999999999,65.53802,59.803039999999996,4.3549,4.9687399999999995,8.520900000000001,5.24608,80089.69003999999,508426154.53874004,39115879.43198308,6.512,4.0128,6.2033,2.3988,4.1666,1.8723,3.8777,2.9416,3.3619,2.8811,3.7544,4.2767,8.2831,1.8723,15.3622,17.2559,11.8028,4.0325,12.0746,286.9284,126.4463,8.7333,11.0658,15.6658,5.9088,400417.2804,2542129218.6321,2542129218.6321,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,2,1,0.998,0.002,1254,6.2343,4.153,4.9493,3.0287,5.7178,11.7367,20.064,3.5998,6.2851,3.4555,4.3507,5.6077,235.1009,6.1908,8.08566,13.15232,9.383080000000001,4.71016,5.48798,13.206040000000002,42.9073,3.5260400000000005,7.2092,4.75202,3.79664,608127394.09798,22979992507.022,1814470770.5643399,5.7324,3.1026,3.8197,1.1966,3.024,11.3977,13.5195,1.8488,5.0083,1.5047,2.2092,2.6388,3.2893,1.1966,15.2061,47.1289,17.1919,8.8873,7.6456,16.9673,93.2539,5.5048,11.2571,7.9361,5.4878,3040636951.9031,114899433584.0009,114899433584.0009,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,1,1,0.998,0.002,1254,7.406,4.4413,8.118,3.238,10.8919,1.8206,41.7058,3.1011,3.2961,6.1771,5.1979,10.4668,47.327,6.1527,9.4538,9.021840000000001,8.1985,2.99274,9.0465,62.37384000000001,57.376419999999996,4.13372,4.744680000000001,9.239419999999999,5.00978,75276.24380000001,479729565.9324201,36908078.75134308,6.2399,3.8422,5.9775,2.2786,3.9951,1.7919,3.7208,2.7837,3.2051,2.736,3.6747,3.9927,8.0122,1.7919,14.7957,16.5817,11.311,3.8489,11.4049,272.9922,121.4237,8.3114,10.6155,17.2824,5.5967,376351.9121,2398646355.7354,2398646355.7354,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,2,1,0.997,0.002,1254,6.0534,4.007,4.7589,2.8988,5.4654,11.2446,19.3875,3.4544,6.042,3.2942,4.1409,5.3344,225.2449,5.9533,7.81626,13.21362,9.1134,4.87296,5.317,12.66488,41.48906,3.3795200000000003,7.01112,4.53172,3.6239800000000004,579228804.69786,21975271350.958,1734961559.1299522,5.5818,2.9826,3.6604,1.1829,2.8824,10.9482,13.0649,1.7695,5.2682,1.4262,2.1075,2.501,3.1949,1.1829,14.6234,48.1027,16.7444,8.8774,7.3128,16.2247,89.8189,5.2812,10.8071,7.5686,5.2631,2896144005.8322,109875840887.5559,109875840887.5559,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,1,1,0.997,0.002,1254,7.0921,4.2919,7.8567,3.0783,10.2866,1.728,40.4473,2.9367,3.1336,5.8708,4.9193,9.8826,44.6834,5.8708,9.07428,8.674719999999999,7.904259999999999,2.91214,8.64776,59.35082000000001,55.18188,3.92358,4.62502,8.78036,4.740679999999999,70747.70044,452626307.06014,34822863.736621544,5.9673,3.6801,5.7597,2.1643,3.7909,1.7005,3.57,2.6341,3.0555,2.598,3.4678,3.7273,7.7499,1.7005,14.2252,15.9333,10.8456,3.9946,10.7717,259.72,116.5959,7.9095,10.6552,16.4324,5.3008,353710.9103,2263130137.4302,2263130137.4302,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,3,1,0.999,0.002,1254,4.9983,7.1488,5.5391,2.5155,3.0048,11.2766,24.6085,1.8975,4.8973,5.5508,2.3066,11.1447,6.3697,4.9983,5.26128,7.3297,5.026400000000001,3.96406,3.74768,11.2506,23.67444,2.13034,14.328520000000001,4.81926,4.1151800000000005,25407.725720000002,3732.7670200000002,2248.164630769231,4.528,2.5501,2.1175,1.99,2.4291,2.6026,3.3198,1.5661,2.5713,0.9404,2.0803,2.7708,1.5072,0.9404,6.1053,11.9164,7.3019,7.9708,7.5524,16.0226,54.3164,2.902,30.8607,8.1155,10.5808,104145.4067,15705.6928,104145.4067,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,1,2,0.999,0.002,1254,5.6956,4.612,4.112,2.3503,7.0349,1.8248,20.5018,3.1521,3.6037,3.5604,6.9718,18.2102,31.7823,4.9159,6.80188,5.141859999999999,4.03928,2.2363799999999996,6.89352,13.9502,17.40994,3.6470399999999996,3.73542,4.6419,5.59596,42608.10856,27157693.908739995,2092336.6238984612,4.8237,4.5412,3.6438,1.6865,3.1209,1.7977,6.3775,3.022,3.2085,3.0499,2.9817,5.4548,4.9159,1.6865,9.8571,6.0907,4.5139,2.7375,10.3439,43.4048,27.8091,5.818,4.6396,6.7511,7.1154,212993.0769,135787686.1368,135787686.1368,5,5,5,5,5,5,5,5,5,5,5,5,5,65
