,,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All
rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nsmallest,-99.0,2,1,1,0.999,0.002,1254,7.0023,4.0142,4.5956,2.8807,7.3524,2.0257,3.3572,1.7053,11.5322,12.0903,1.9018,22.2543,43.7344,3.8223,3.2745,3.2801,3.4669,4.0039,5.5947,3.3536,9.6601,6.7049,11.1058,50.1242,6.0203500000000005,9.018040000000001,4.0338,9.38286,6.03398,8.06048,2.37358,3.12516,1.84516,9.561539999999999,21.09948,65.53802,51.85634,59.803039999999996,11.45204,4.3549,5.386159999999999,4.9687399999999995,7.82218,8.520900000000001,4.07014,7.92368,9.30502,80089.69003999999,508426154.53874004,21187773.323500834,6.512,3.6601,4.0128,2.4796,6.2033,1.6497,2.3988,1.4594,4.1666,10.4275,1.8723,6.0271,3.8777,3.7238,2.9416,1.6719,3.3619,3.0375,2.8811,1.9977,2.4294,6.2929,4.2767,8.2831,1.4594,12.5311,4.6945,17.2559,11.5862,11.8028,3.1482,4.0325,2.3085,12.0746,58.3892,286.9284,201.939,126.4463,39.9632,8.7333,9.5011,11.0658,14.288,15.6658,8.4726,10.3132,18.4018,400417.2804,2542129218.6321,2542129218.6321,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,2,2,1,0.999,0.002,1254,6.4792,7.0477,4.3042,4.7196,5.1472,2.6341,3.1644,1.9399,5.9815,7.8884,12.2499,10.4002,20.7634,11.8187,3.7513,3.6619,6.5377,2.9287,3.4209,3.5028,3.2015,7.0718,5.8948,245.3776,5.8610500000000005,8.13362,5.66516,13.621020000000001,4.5344,9.6115,2.35172,4.9054400000000005,2.03056,5.7389399999999995,10.62992,13.76982,37.74514,44.557159999999996,12.128919999999999,3.6787599999999996,4.82804,7.5141599999999995,3.5342599999999997,4.7451,21.8933,4.74544,5.53118,638436646.338,24029574186.31438,1027833794.3560809,5.5437,1.8564,3.2273,2.3752,3.359,1.5816,1.2551,1.5333,3.1723,2.836,11.8652,9.8614,13.9894,3.9399,1.9316,1.7124,5.2314,2.2317,1.5955,1.9636,3.0712,1.9832,2.784,3.3864,1.2551,15.8118,9.8314,48.7809,7.1934,17.8343,2.7527,9.2339,2.7777,7.9932,28.6645,17.7431,116.4498,96.8165,19.9471,5.7376,8.2611,11.7254,6.6373,8.321,51.0911,9.9888,7.6586,3192183212.1253,120147328578.2543,120147328578.2543,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,2,1,2,0.999,0.002,1254,5.1949,4.0816,4.612,5.0713,4.112,1.6413,2.3503,1.6855,7.0349,8.2786,1.8248,16.2429,20.5018,3.5763,3.1521,2.1157,3.6037,4.0421,3.577,2.7916,4.8418,3.6451,18.2102,31.7823,4.3504000000000005,6.42534,4.52658,5.141859999999999,7.24066,4.03928,2.06124,2.2363799999999996,1.6969999999999998,6.89352,8.93332,13.9502,20.5179,17.40994,4.93688,3.6470399999999996,2.7840800000000003,3.73542,4.68628,4.65764,2.90072,4.78294,6.637359999999999,42608.10856,27157693.908739995,1133351.7441199997,4.8523,3.3746,4.5412,3.5951,3.6438,1.4554,1.6865,1.2543,3.1209,5.1547,1.7977,4.0945,6.3775,3.4862,3.022,2.0551,3.2085,3.0969,3.0499,1.7719,3.7261,3.5474,5.4548,4.9159,1.2543,8.455,5.635,6.0907,11.4712,4.5139,2.807,2.7375,2.1532,10.3439,14.4323,43.4048,61.3005,27.8091,10.2704,5.818,3.866,4.6396,6.4278,6.7823,4.461,5.7445,17.412,212993.0769,135787686.1368,135787686.1368,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,2,2,2,0.999,0.002,1254,4.6862,5.9803,4.2223,5.8116,3.4385,2.0172,2.1829,1.6571,6.3164,3.5658,6.5504,7.3192,20.868,4.7408,2.9508,2.6092,5.2007,2.8859,2.8476,3.2418,3.9508,5.3034,5.23,21.2779,4.2417,5.88598,5.0318,7.426220000000001,5.24238,4.11094,2.1012399999999998,2.81134,1.69416,6.24198,5.75148,7.139799999999999,16.74778,19.1561,5.039759999999999,3.10974,2.4036,4.8171,3.4369199999999998,3.76152,5.21088,4.5724,4.90468,140836230.4766,5573881533.41356,238113245.43699834,4.6179,2.3915,3.7798,3.9957,2.5289,1.6469,1.2715,1.5501,3.5996,2.6663,6.0883,6.1598,9.3295,3.3771,2.7378,1.7118,4.0688,2.7924,1.7177,1.5969,3.4934,2.8621,3.6387,2.2628,1.2715,10.7834,6.6291,20.7695,6.2478,6.1019,2.6015,4.2611,1.9236,7.9667,14.9727,10.0334,38.2488,25.1366,6.612,3.7097,2.8509,5.4205,4.5314,5.9175,9.4888,6.9,6.6528,704181126.9976,27869211236.4669,27869211236.4669,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,2,1,3,0.999,0.002,1254,4.259,4.8962,4.9635,3.3507,3.1568,1.6177,2.1616,1.5402,5.1633,5.2779,1.994,9.3643,9.8057,3.4567,3.1297,2.6573,2.8791,3.5081,2.6877,2.05,5.6512,3.9437,10.185,40.616,3.9609,5.09908,6.329359999999999,4.9978,5.63554,3.22282,1.83766,2.10272,1.6597000000000002,4.96258,6.20402,7.1178799999999995,10.36366,10.845279999999999,3.8845599999999996,3.17928,2.99962,3.12546,3.34072,3.19162,2.20672,5.2046399999999995,5.43814,15592.14242,9020474.05128,376507.04760666663,4.0134,3.1352,4.0666,3.0598,2.8876,1.4672,1.8617,1.2771,2.967,5.2444,1.9616,3.4105,5.5517,2.9731,2.2242,2.0121,2.8163,2.386,2.2469,1.8058,3.2075,3.8941,4.5582,9.5837,1.2771,6.6031,9.4709,5.844,9.2974,3.746,2.2553,2.1877,2.096,6.3654,9.8097,19.3888,26.0102,16.9484,6.0141,4.4449,4.1457,3.9781,4.1283,4.2885,3.1254,6.1552,9.5736,77931.1023,45102038.0975,45102038.0975,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,2,2,3,0.999,0.002,1254,3.9258,4.9023,4.4108,4.411,2.6814,2.0106,1.6213,1.6298,4.6723,3.0389,4.6549,5.3444,9.7221,3.3528,2.5657,2.8176,3.8066,2.766,2.1576,2.4183,4.2825,4.5725,4.7707,9.8671,3.8728,4.70904,7.93332,5.4739,4.44336,3.2010199999999998,1.87802,2.4718600000000004,1.6262599999999998,4.6129,4.59906,4.71852,7.9798,9.24346,3.371,2.5883,2.48272,3.81726,2.87906,2.8127,3.3951000000000002,4.18502,4.8556,46999578.22906,1126665649.5667,48902721.71137667,3.7916,2.4556,3.8217,3.2771,2.305,1.4845,1.3566,1.5433,2.9175,2.9306,3.9887,4.0584,6.7405,2.7782,2.406,1.8032,3.1825,2.3624,1.5118,1.6146,3.0387,3.1673,2.7959,2.2182,1.3566,8.0814,14.5102,9.7025,6.1515,4.2794,2.0757,4.7927,1.679,5.4599,10.6915,6.0003,16.4244,11.1591,3.9112,2.7872,2.9056,4.9461,4.0255,4.3404,5.3789,4.8216,6.1446,234997874.5471,5633248886.9335,5633248886.9335,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,3,2,1,0.999,0.002,1254,4.9118,5.1761,13.2464,3.6626,3.9217,1.962,2.4004,1.4855,3.0451,3.6897,19.9703,7.0475,10.0457,7.5943,1.7265,1.5163,3.6341,2.9923,2.0225,2.449,3.3152,2.8217,12.4996,108.7086,3.7110000000000003,5.0564,4.8081000000000005,13.894739999999999,3.71756,4.69414,2.42914,2.31166,1.72716,5.24764,7.30012,33.178659999999994,11.142579999999999,7.56808,7.254980000000001,1.80796,2.95076,4.36176,2.88626,2.65624,5.34442,5.00938,2.83066,16513.32922,3793.18338,851.862125,3.8933,2.5605,3.915,2.6876,2.4372,1.6757,1.0702,1.0732,1.1465,3.1417,2.2836,2.4773,1.3353,6.4871,1.4917,1.1744,3.078,1.6412,1.5448,1.9127,1.5534,1.5138,3.7323,3.6318,1.0702,5.9179,7.1449,30.6394,5.573,9.4617,4.0563,3.285,2.7563,16.2013,14.5881,71.6865,27.9799,11.0485,7.6368,2.5708,5.5605,6.3601,4.1701,4.316,12.617,11.691,4.5309,62810.4104,17453.0104,62810.4104,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,3,1,1,0.999,0.002,1254,4.554,5.1225,3.7171,5.9685,3.1882,1.8305,2.7198,1.3537,5.458,9.4509,7.9154,22.5152,2.5315,6.336,2.0476,2.7385,3.9436,3.0983,1.9255,6.1047,3.2832,3.4356,4.5407,55.2166,3.59895,4.731,5.66612,7.6661600000000005,4.53346,5.26456,2.5883,2.384,1.4358,5.07532,9.62734,23.60928,24.394060000000003,123.7728,6.2805800000000005,2.3677,2.4747,4.07198,3.9406,2.14238,5.13378,3.71472,5.8018,11521.82042,63246.38944,3126.0369291666666,4.1323,1.8593,3.6193,1.1986,1.5552,1.7122,1.381,1.3416,1.2015,4.7356,3.8996,2.4398,0.9027,2.2462,1.4172,1.7798,1.9085,2.8164,1.831,1.5353,2.6032,1.303,1.9804,1.5241,0.9027,5.5249,9.2201,19.5973,6.9139,15.0526,5.6007,2.8306,1.655,7.6076,13.0157,65.0195,46.1024,600.0348,9.4898,3.4062,3.1523,6.9405,5.827,2.6967,8.0749,6.182,10.9642,57586.9092,315728.6241,315728.6241,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
