,,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All
rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nsmallest,-999,2,1,1,0.999,0.002,1254,29.7714,171.5932,5.5108,3894.1894,1282.6283,1.8534,28.8266,2.9345,10.9022,4.848,53.616,36.7585,21.6032,6.7076,24.426,16.029,24.9713,17.4637,30.6124,7.1506,12.159,4.9282,35.253,96.7279,24.8504,58.678778571428566,148.04072,53.64964,431363.74330000003,1035.33852,90.99586000000001,54.02136,2.91456,8.79218,68.15921999999999,81.35220000000001,776.68708,41.03938,16.76342,24.25198,24.04422,47.4653,20.263560000000002,22.009700000000002,15.20948,13.688659999999999,6.01342,140525.50134,588709522.1832,22840470.01662326,20.9364,6.0247,4.5332,3.2453,38.2273,1.8315,20.6345,2.2885,3.3388,4.744,33.2063,35.0783,8.7186,6.5012,22.1071,6.9551,11.477,4.7631,1.9811,4.7499,11.6232,4.7763,2.165,9.549,1.8315,116.3177,380.4059,247.9441,1094596.8882,1395.5225,447.3385,102.6767,4.0142,11.3285,166.2079,229.4113,3653.7955,140.1645,43.0458,25.9017,45.2688,91.4994,31.0835,34.5836,30.2323,16.3556,7.9021,702551.3914,2943534790.7072,2943534790.7072,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,2,2,1,0.999,0.002,1254,21.9939,61.9412,56.0174,82.8822,149.4171,1.411,5.8684,2.744,3.2921,23.5477,44.6252,44.1546,69.6482,9.0988,9.4624,11.5586,17.9676,8.5083,5.9281,12.6394,11.6558,5.7646,7.8954,30.4211,16.4926,32.42075714285714,278.01778,50.26442,173.77393999999998,91.57584,17.09198,844.4041200000001,2.53694,5.18656,32.00626,156.14708000000002,181.56072,1662.6958600000003,8.66856,16.22064,9.9833,15.002699999999999,11.77798,16.6663,16.104940000000003,10.86892,5.5708,45751.58322,420736954932.6376,16307635828.725758,17.7542,2.7906,13.3992,76.6759,2.5158,0.7665,2.603,1.4806,3.0366,6.7496,24.8926,7.2571,2.912,4.1253,7.1322,4.0876,8.28,3.7541,2.4706,1.9309,5.0269,2.4945,4.5528,2.4828,0.7665,55.5046,1232.8926,99.4593,316.0508,152.6597,58.2731,4202.3352,3.0981,8.3239,54.9519,345.3514,795.3584,4154.2892,16.4926,28.1732,17.9735,18.9127,22.1465,35.7897,35.3528,14.6745,9.8858,228732.3181,2103683708601.6165,2103683708601.6165,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,2,1,2,0.999,0.002,1254,19.641550000000002,81.7513,36.6979,594.4252,151.1948,2.076,11.6341,2.7377,6.9605,4.2791,22.2277,21.638,29.0155,5.6062,8.3048,9.041,12.2593,11.5918,8.4215,13.446,11.7356,11.6245,12.789,79.9194,13.5418,35.01047142857143,108.56143999999999,431.25858,33267.63284,174.89213999999998,77.75908,24.76592,2.74006,6.1323,13.694139999999999,25.597900000000003,83.04076,27.227980000000002,9.985679999999999,12.059520000000001,12.31734,16.262,10.55264,10.46298,14.19118,17.806459999999998,9.91466,31655.49056,75273971.82378,2920158.2247775197,15.3163,7.9036,3.9937,3.0433,16.9408,2.0489,10.63,2.6562,3.3462,4.1945,13.5418,20.5732,8.7307,5.4472,7.9799,6.7121,9.5194,5.9022,2.1579,12.3534,11.2441,5.9898,9.0198,7.1787,2.0489,65.4076,360.8399,2072.814,83846.9795,412.2162,380.1952,46.7745,2.8509,7.1877,28.3018,55.2387,310.6629,57.7782,17.252,18.0616,19.5243,25.6999,12.1424,29.8833,16.5004,27.5074,12.1681,158233.2784,376364938.2817,376364938.2817,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,2,2,2,0.999,0.002,1254,15.244150000000001,37.6889,48.4421,42.0292,53.3526,2.1184,6.3081,2.3942,2.6198,7.0067,19.4014,19.9858,29.1246,9.2499,8.0823,5.525,9.2052,8.5481,7.2141,12.8257,13.0154,8.5434,9.0855,21.4175,11.9096,21.401014285714286,93.72746,42.91194,58.87056,35.110400000000006,17.90414,159.98662,2.28248,5.72344,10.13682,29.817320000000002,46.84906,160.54586,7.864959999999999,7.955540000000001,5.735760000000001,11.9908,7.58338,12.58382,19.4007,13.77974,8.590019999999999,15432.566579999999,13463241778.41888,521831706.5991907,14.009,4.8884,13.5393,39.3197,2.1825,1.4682,2.7471,1.6059,2.6016,6.9219,10.9055,4.8352,4.7844,3.6292,5.6353,4.3848,7.0735,4.0157,2.4834,3.2582,11.7286,4.2615,5.4019,2.9122,1.4682,33.2185,335.5003,76.4717,86.2096,64.2793,49.2179,781.092,2.6912,10.6215,15.2237,54.0374,174.2946,379.4671,11.6535,9.3534,8.619,18.2453,10.9447,25.3045,51.6795,17.6618,12.1574,77108.4631,67316011613.4046,67316011613.4046,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,2,3,1,0.999,0.002,1254,10.5815,16.5095,40.633,40.4351,27.6318,29.9046,69.2411,2.8703,3.5274,6.474,19.8479,21.6674,32.5193,9.1678,7.4118,8.7364,3.6818,9.1845,5.6343,7.3286,4.522,2.3319,6.083,15.5693,9.8611,14.303807142857142,473.83224,882.2319600000001,8749.02192,37.72904,22.95886,54.74674,2.27192,3.4056399999999996,6.33688,16.35434,41.239580000000004,113.38368,10.2097,7.99542,8.03864,4.59952,10.19468,19.430600000000002,9.80798,10.66158,2.78898,63646.67186,3377.43006,3005.8679255813954,9.8611,0.1829,0.7125,2.3706,3.6848,1.6674,1.5754,0.3919,2.1078,3.5694,2.9259,3.9102,1.5458,3.3619,5.6336,3.5923,1.5653,3.8243,1.0491,1.9392,2.1698,1.0491,1.8622,1.8364,0.1829,33.9791,2298.8203,4281.9925,22140.0671,67.7456,35.1802,92.8937,3.4264,4.8828,11.2624,31.5521,127.1951,435.6349,16.8724,10.6218,14.4034,10.699,16.1126,43.6623,20.8917,37.3091,4.7272,318209.7953,15897.1742,318209.7953,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,3,2,1,0.999,0.002,1254,12.8045,18.047,28.3442,33.5625,48.7885,9.592,46.0661,1.722,4.6681,6.6563,15.0757,106.0121,44.2384,13.1549,5.1256,3.9947,7.2387,4.3414,3.9213,6.4912,6.4131,4.1927,5.5568,218.1318,9.8072,14.621421428571429,596.82372,173.93462000000002,117.7977,38.77464,29.374419999999997,143.8712,1.7192599999999998,4.8793,20.18164,25.5476,188.66738,74.31953999999999,10.32184,6.80762,4.75444,9.88296,7.0934,4.0948,12.0508,7.706059999999999,6.303839999999999,6.20582,2708.0665,164.3457007751938,9.7934,2.0912,4.7507,29.9623,3.0902,1.4684,1.6154,1.3434,2.2614,1.898,4.1137,9.9278,2.9591,2.416,4.5288,2.2295,2.8483,1.617,1.2992,3.8387,3.0417,1.6884,2.3124,9.8831,1.2992,20.9724,2928.1519,444.0837,459.937,60.7997,87.3673,575.337,1.9609,7.6052,68.6397,58.425,708.429,159.4098,13.8998,10.7772,7.0123,17.1082,13.2772,6.7478,38.1908,13.8096,19.435,12.0013,12634.3715,12634.3715,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,2,1,3,0.999,0.002,1254,13.80535,50.6167,35.943,208.7618,62.7048,1.9133,8.051,2.5796,7.8082,3.8134,12.4833,14.0578,25.2287,4.0125,5.9016,8.4334,10.1729,6.8925,8.9679,9.7167,8.5051,7.4365,9.9248,60.5845,9.2882,24.167485714285714,72.67462,186.62434000000002,4341.49038,367.02292,29.03596,12.23322,2.43732,6.38252,9.531780000000001,14.1855,30.109860000000005,22.01678,6.204940000000001,8.2123,8.51342,10.25386,6.9485399999999995,9.722280000000001,9.52374,18.592480000000002,6.76056,28137.213220000005,15086243.115,586032.0338953489,10.8353,8.0514,3.3847,3.0359,9.5336,1.8907,7.9764,2.0725,3.0428,3.744,7.1823,13.6,8.9186,3.9256,5.7027,7.1953,5.9117,5.3772,2.2974,7.4488,8.2263,4.7858,5.6608,4.8631,1.8907,44.6354,244.9986,852.4126,10676.6199,1640.4848,137.2363,19.0585,2.789,8.0676,18.3404,31.1997,93.1833,40.0826,10.4295,11.8637,9.2882,14.865,8.3322,23.8118,11.4356,34.154,7.7275,140654.5389,75430180.5684,75430180.5684,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,2,2,3,0.999,0.002,1254,11.46805,23.7951,26.9389,25.785,26.6442,1.8972,4.6958,2.0938,3.4765,7.2973,13.1965,14.9551,19.798,6.0372,4.7662,4.9502,7.3221,6.2646,8.5299,7.8065,16.0293,6.917,8.2895,11.9467,8.5114,15.369421428571428,49.43206,30.09812,32.5634,24.52194,11.27394,85.68694,2.0736999999999997,4.91828,7.1646600000000005,16.362099999999998,17.61978,51.3519,4.89872,6.2225,5.09978,6.95316,5.6287,11.78908,9.915140000000001,18.80282,5.939220000000001,7549.280040000001,1766574795.10694,68472201.38516667,10.2333,4.7101,8.149,24.5358,10.5421,1.7446,2.261,1.6037,2.5214,5.6233,8.1143,3.8969,4.9509,3.0337,4.2187,4.1004,4.913,3.2444,2.279,2.8328,12.0761,2.7653,5.311,2.6516,1.6037,22.9905,139.1763,63.5438,43.9269,37.3875,26.9073,413.404,2.3726,7.7424,8.7504,26.3238,44.7173,111.242,6.2474,8.8616,7.1935,8.8915,8.3102,22.7448,22.6549,31.7916,8.5114,37708.0014,8832796158.1271,8832796158.1271,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
