,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All
watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,nlargest_nsmallest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,0.998,0.002,1254,nsmallest,7.394415,4.30297,5.36629,2.73104,8.11795,1.92112,3.23796,1.75649,10.89193,11.61268,1.77239,21.13343,41.70583,4.97138,3.82724,6.39008,3.37694,23.90604,7.2305,4.08342,9.11215,6.3222,10.46675,47.12624,6.85598,10.160445,4.293858,9.769192,5.76219,8.198508,2.26008,3.0026040000000003,1.778388,9.15441,19.87741,62.345403999999995,49.587036,57.376424,16.819706,5.054215999999999,8.118654,13.640698,22.105506,10.787002,4.610838,7.574014,8.984584,75276.264572,481797503.02343,18677253.44333217,7.05428,3.83626,3.74034,2.35747,5.97753,1.60229,2.2786,1.38214,3.99509,8.26239,1.74521,5.71608,3.72078,4.82229,3.44568,2.20249,3.29683,4.30401,2.73598,1.84244,2.49056,5.9308,4.03964,8.14635,1.38214,14.78237,4.75793,17.60681,11.0949,11.311,2.98961,3.89821,2.1931,11.40486,55.88617,272.99224,193.50249,121.42371,63.73472,10.18127,13.09793,52.5638,33.39043,20.20323,9.16623,9.73595,17.4052,376351.92092,2408986022.49185,2408986022.49185,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,2,1,0.998,0.002,1254,nsmallest,7.05029,8.17001,4.28709,4.55377,4.94932,2.52722,3.02872,1.86376,6.38571,7.60812,11.73674,9.96448,20.06401,10.43762,4.43831,3.89477,5.74972,15.93447,3.46255,3.40416,4.26211,6.75233,5.60774,235.10089,6.75233,8.245702857142858,6.136799999999999,13.199148,4.3708979999999995,9.38309,2.255106,4.732868,1.9665959999999998,5.756178,10.066936,13.119054,36.3251,42.90731,15.989354,4.265318,6.382886000000001,8.665026000000001,17.224094,5.003258000000001,45.477053999999995,5.118426,5.29441,609360478.181012,22979993836.0994,914316069.8064841,5.73086,1.77725,3.77799,2.3009,3.81974,1.51843,1.19661,1.46515,3.02397,2.72554,11.39775,9.48037,13.51953,3.86482,2.89815,2.68333,3.52556,9.63569,2.45323,1.45223,3.01248,1.93786,2.63878,3.34439,1.19661,18.38321,9.46199,45.44007,6.93434,17.19195,2.64606,9.00091,2.78286,7.64561,27.68578,16.9673,112.26702,93.25385,29.53953,6.44427,11.20991,18.54185,28.98115,7.93606,110.56385,9.88214,7.34611,3046802372.31819,114899433584.00096,114899433584.00096,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,1,1,0.999,0.002,1254,nsmallest,7.70648,4.53054,5.55281,2.8402,7.35241,2.02566,3.35722,1.70529,11.53224,12.09033,1.85335,22.25427,43.73436,5.15766,4.0372,6.72503,3.53539,25.07876,6.52885,4.32415,9.48309,6.7049,11.1058,50.01779,6.72503,10.561985000000002,4.501228,10.151218,6.017806,8.060468,2.3735679999999997,3.13467,1.8451620000000002,9.673702,20.745554000000002,65.509432,51.815386000000004,59.803052,17.160732,5.306424,8.48787,14.188151999999999,23.211526,9.917032,4.861468,7.855764000000001,9.303270000000001,80089.710512,509520247.7692081,19751965.54173496,7.33173,4.01423,3.90644,2.47964,6.20334,1.64967,2.39877,1.45944,4.16665,8.65775,1.82541,6.02711,3.87773,4.99995,3.63742,2.32707,3.44892,4.50481,2.88108,1.92399,2.63104,6.29291,4.3226,8.40432,1.45944,15.34955,4.98495,18.30389,11.58623,11.80277,3.14817,4.08008,2.30846,12.07455,58.38922,286.92838,201.73416,126.44632,64.65405,10.64416,13.63194,54.57193,35.08056,18.2581,9.62308,10.12673,18.40179,400417.28983,2547599668.31333,2547599668.31333,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,2,1,0.999,0.002,1254,nsmallest,7.332155,8.471,4.45041,4.71957,5.14715,2.63412,3.16438,1.93995,6.6736,7.88841,12.24992,10.40017,20.76335,10.85717,4.60645,4.04897,5.94469,16.53981,3.42441,3.5028,4.48688,7.0718,5.89483,245.37759,6.70849,8.542572142857143,6.374788000000001,13.678838000000002,4.5380400000000005,9.61147,2.351718,4.927148,2.030582,6.01687,10.432124,13.682231999999999,37.745118000000005,44.55715,16.256464,4.435774,6.671818,9.010036,17.904074,4.984608,47.205338,5.256678,5.531176,639083280.965886,24029575320.46615,956149569.7113675,5.94543,1.85828,3.91324,2.39339,3.35898,1.58159,1.25514,1.53331,3.17231,2.83603,11.86524,9.86144,13.98945,3.98411,3.02178,2.78897,3.67512,10.02521,2.32463,1.52133,3.06812,1.98315,2.78395,3.43598,1.25514,19.09295,9.84126,47.08053,7.19342,17.83429,2.75272,9.34241,2.77775,7.99322,28.66451,17.7431,116.44977,96.81648,30.05646,6.70331,11.73889,19.31318,30.17655,8.32097,114.76407,9.98879,7.65862,3195416385.26481,120147328578.25432,120147328578.25432,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,2,1,0.997,0.002,1254,nsmallest,6.86552,7.87944,4.12961,4.39364,4.75891,2.42456,2.89876,1.82039,6.10997,7.33753,11.24458,9.54663,19.38755,10.03388,4.27616,3.7463,5.56097,15.35072,3.30427,3.37095,4.04839,6.67749,5.33436,225.24493,6.64567,7.9851,5.90752,13.231164000000001,4.209785999999999,9.113392000000001,2.1635359999999997,4.896604,1.9363199999999998,5.575824,9.714204,12.578566,34.957350000000005,41.489087999999995,15.47375,4.101268,6.134005999999999,8.399823999999999,16.569334,4.773724,43.823094,4.8937100000000004,5.1628039999999995,580992298.640956,21975272865.27258,874273854.3169258,5.58001,1.69968,3.64729,2.2119,3.66044,1.45772,1.18294,1.51272,2.88243,2.61925,10.94823,9.11366,13.06495,3.74899,2.77945,2.5816,3.71604,9.26095,2.33224,1.38621,2.87373,1.90222,2.50104,3.25515,1.18294,17.69968,9.09698,46.33189,6.68433,16.74435,2.55117,8.87744,2.68035,7.3128,26.73955,16.22469,108.23054,89.81895,28.60125,6.195,10.77615,17.8006,27.83197,7.56859,106.51337,9.48816,7.04606,2904961475.5477,109875840887.5559,109875840887.5559,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,1,1,0.997,0.002,1254,nsmallest,7.081015,4.08663,5.18585,2.62597,7.85668,1.82188,3.07827,1.74181,10.28658,11.15345,1.68059,20.068,40.44734,4.79166,3.628,6.07151,3.22545,23.41596,6.89297,3.85586,8.58873,6.11832,9.88262,44.39921,6.49907,9.763751428571428,4.095874,9.4015,5.5172300000000005,7.904254,2.1450679999999998,2.9231740000000004,1.729522,8.75821,19.04486,59.32285399999999,47.453314,55.181894,16.480961999999998,4.813846,7.781752,13.583419999999998,21.464313999999998,10.278687999999999,4.538836,7.151590000000001,8.715252,70747.72140200001,455557588.04639196,17660026.410570234,6.81329,3.66602,3.58247,2.2412,5.75972,1.5213,2.16434,1.30887,3.79094,7.88471,1.6546,5.42081,3.57004,4.65078,3.26386,2.16624,3.15131,4.30288,2.59804,1.78691,2.35746,5.73797,3.77494,7.89605,1.30887,14.21121,4.54103,16.93562,10.62395,10.84556,2.83889,4.04985,2.15215,10.7717,53.48807,259.72002,185.59896,116.59587,62.79823,9.73807,12.58434,52.97474,32.14146,19.26775,9.53712,9.18416,16.65699,353710.91856,2277786521.69453,2277786521.69453,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,2,1,0.998,0.003,1254,nsmallest,6.215185,7.21415,3.77529,4.02081,4.35276,2.22551,2.68063,1.64514,5.64053,6.73149,10.36671,8.78343,17.78193,9.19155,3.91119,3.43894,5.07353,14.06537,3.05942,3.00886,3.7546,5.96233,4.94308,208.59612,5.96233,7.266782857142857,5.423617999999999,11.70953,3.8593559999999996,8.290834,1.9882179999999998,4.1757480000000005,1.7381119999999999,5.082022,8.894552000000001,11.565245999999998,32.064194,37.916489999999996,14.117442,3.759854,5.62702,7.646573999999999,15.1953,4.414224,40.073234,4.519412,4.6727620000000005,536424499.28564996,20316996624.69442,808272146.3977056,5.056,1.56453,3.32929,2.0303,3.36255,1.34118,1.05729,1.29545,2.67098,2.40739,10.04407,8.39927,11.93779,3.41603,2.56506,2.36612,3.11616,8.49659,2.17348,1.28662,2.66093,1.70757,2.32375,3.13601,1.05729,16.18459,8.38579,40.408,6.12489,15.21606,2.33406,7.92636,2.46968,6.74646,24.44554,14.96148,98.99516,82.59192,26.07456,5.67494,9.87426,16.37746,25.5213,6.99108,97.39856,8.73161,6.49083,2682122480.03143,101584481005.6734,101584481005.6734,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,2,1,0.999,0.003,1254,nsmallest,6.463660000000001,7.47992,3.91911,4.16721,4.52675,2.31965,2.80069,1.71038,5.89482,6.97948,10.81998,9.16748,18.40174,9.56101,4.05935,3.5751,5.24557,14.5997,3.02572,3.09605,3.95261,6.24442,5.19614,217.71425,5.92362,7.528410714285714,5.633938,12.135068,4.006936,8.493018000000001,2.0734000000000004,4.347178,1.794564,5.312182,9.217212,12.061734,33.317726,39.374264,14.352923999999998,3.910114,5.88172,7.951022,15.795156,4.397366,41.596164,4.641427999999999,4.88173,562589700.627314,21244949028.579277,845253449.2814336,5.2453,1.63586,3.44848,2.11191,2.95693,1.39697,1.10901,1.35572,2.80201,2.50498,10.45604,8.73689,12.35273,3.52146,2.67449,2.45926,3.24835,8.84006,2.05469,1.34784,2.71008,1.74748,2.4516,3.22189,1.10901,16.80944,8.72191,41.8668,6.35373,15.78457,2.42815,8.22708,2.46515,7.05319,25.30971,15.64556,102.68344,85.74722,26.53085,5.90305,10.34021,17.05875,26.574,7.33016,101.09864,8.82584,6.76696,2812948485.87721,106224231374.62347,106224231374.62347,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
