,,,,,,,,,,,median,median,median,mean,mean,mean,min,min,min,max,max,max,count,count,count
year,,,,,,,,,,,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All
start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,
Close,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,1.49145,1.4259,1.4911,1.5978285714285714,1.54078,1.582815789473684,1.4657,1.2485,1.2485,1.7531,2.009,2.009,14,5,19
Open,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,1.49145,1.4259,1.4911,1.5978285714285714,1.54078,1.582815789473684,1.4657,1.2485,1.2485,1.7531,2.009,2.009,14,5,19
Close,Open,Close,nsmallest,-999,2,2,2,0.999,0.002,1254,1.4127,1.1948,1.4067,1.4283000000000001,1.31128,1.3975052631578948,1.355,1.1116,1.1116,1.4833,1.617,1.617,14,5,19
Open,Open,Close,nsmallest,-999,2,2,2,0.999,0.002,1254,1.4127,1.1948,1.4067,1.4283000000000001,1.31128,1.3975052631578948,1.355,1.1116,1.1116,1.4833,1.617,1.617,14,5,19
Open,Open,Close,nsmallest,-999,3,1,2,0.999,0.002,1254,1.3988,1.3491,1.3967,1.3912642857142856,1.33174,1.3756,1.3706,1.1559,1.1559,1.412,1.4498,1.4498,14,5,19
Close,Open,Close,nsmallest,-999,3,1,2,0.999,0.002,1254,1.3988,1.3491,1.3967,1.3912642857142856,1.33174,1.3756,1.3706,1.1559,1.1559,1.412,1.4498,1.4498,14,5,19
Open,Open,Close,nsmallest,-999,2,1,1,0.999,0.002,1254,1.3602500000000002,1.4742,1.3603,1.4556285714285715,1.44602,1.4530999999999998,1.3538,1.2157,1.2157,1.5874,1.7272,1.7272,14,5,19
Close,Open,Close,nsmallest,-999,2,1,1,0.999,0.002,1254,1.3602500000000002,1.4742,1.3603,1.4556285714285715,1.44602,1.4530999999999998,1.3538,1.2157,1.2157,1.5874,1.7272,1.7272,14,5,19
Open,Open,Open,nsmallest,-999,2,2,2,0.999,0.002,1254,1.3339500000000002,1.2088,1.3339,1.33995,1.27444,1.3227105263157894,1.2887,1.0843,1.0843,1.375,1.5196,1.5196,14,5,19
Close,Open,Open,nsmallest,-999,2,2,2,0.999,0.002,1254,1.3339500000000002,1.2088,1.3339,1.33995,1.27444,1.3227105263157894,1.2887,1.0843,1.0843,1.375,1.5196,1.5196,14,5,19
Close,Open,Close,nsmallest,-999,2,3,2,0.999,0.002,1254,1.3230499999999998,1.2417,1.323,1.3317214285714285,1.27836,1.317678947368421,1.3162,1.0868,1.0868,1.3665,1.4329,1.4329,14,5,19
Open,Open,Close,nsmallest,-999,2,3,2,0.999,0.002,1254,1.3230499999999998,1.2417,1.323,1.3317214285714285,1.27836,1.317678947368421,1.3162,1.0868,1.0868,1.3665,1.4329,1.4329,14,5,19
Close,Open,Close,nsmallest,-999,2,2,1,0.999,0.002,1254,1.28495,1.3273,1.3124,1.2967785714285716,1.2826799999999998,1.2930684210526315,1.2466,1.1568,1.1568,1.35,1.3496,1.35,14,5,19
Open,Open,Close,nsmallest,-999,2,2,1,0.999,0.002,1254,1.28495,1.3273,1.3124,1.2967785714285716,1.2826799999999998,1.2930684210526315,1.2466,1.1568,1.1568,1.35,1.3496,1.35,14,5,19
Close,Open,Close,nsmallest,-999,3,2,2,0.999,0.002,1254,1.3110499999999998,1.2297,1.311,1.3147428571428572,1.30724,1.3127684210526316,1.25,1.1002,1.1002,1.359,1.6953,1.6953,14,5,19
Open,Open,Close,nsmallest,-999,3,2,2,0.999,0.002,1254,1.3110499999999998,1.2297,1.311,1.3147428571428572,1.30724,1.3127684210526316,1.25,1.1002,1.1002,1.359,1.6953,1.6953,14,5,19
