,,,,,,,,,,,median,median,median,mean,mean,mean,min,min,min,max,max,max,count,count,count
year,,,,,,,,,,,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All
start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,
Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,6.1711,1.742,5.6912,6.009392857142857,2.58856,5.109173684210526,4.6348,1.1463,1.1463,8.792,5.6912,8.792,14,5,19
Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,6.0173000000000005,2.0639,5.6774,5.9073714285714285,3.2069400000000003,5.196731578947368,4.4802,1.1101,1.1101,8.534,7.0847,8.534,14,5,19
Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,5.9003,2.3877,5.5669,6.003607142857143,3.33762,5.302031578947369,4.9052,1.5695,1.5695,8.6381,6.8603,8.6381,14,5,19
Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,6.3725000000000005,2.0378,5.0413,6.273635714285715,2.41748,5.258857894736842,5.0271,1.4979,1.4979,8.9792,3.7298,8.9792,14,5,19
All,,,,,,,,,,,3.33025,1.5337,2.1115500000000003,3.9654214285714287,2.18276,3.4962999999999997,1.5925,0.8391,0.8391,8.9792,7.0847,8.9792,112,40,152
Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.9038,1.2343,1.8571,1.9671214285714285,1.58346,1.8661578947368422,1.8098,0.8391,0.8391,2.1803,3.6031,3.6031,14,5,19
Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.79875,1.0819,1.7953,1.8865285714285716,1.94008,1.900621052631579,1.638,0.9146,0.9146,2.1173,3.5974,3.5974,14,5,19
Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.8449,1.1787,1.7582,1.884757142857143,1.18902,1.7016684210526314,1.7458,0.8839,0.8839,2.0616,1.7582,2.0616,14,5,19
Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.7296,1.0696,1.7288,1.790957142857143,1.19892,1.6351578947368421,1.5925,0.8946,0.8946,1.9669,1.6213,1.9669,14,5,19
