,,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All
rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nsmallest,-99.0,2,1,3,0.999,0.002,1254,0.44,0.46,0.51,0.53,0.51,0.49,0.44,0.4,0.43,0.48,0.33,0.45,0.47,0.44,0.43,0.42,0.37,0.45,0.42,0.37,0.46,0.4,0.41,0.4,0.44,0.44800000000000006,0.48200000000000004,0.52,0.554,0.51,0.484,0.454,0.434,0.42800000000000005,0.466,0.372,0.4640000000000001,0.45999999999999996,0.42800000000000005,0.42400000000000004,0.40599999999999997,0.392,0.45599999999999996,0.4,0.396,0.44000000000000006,0.42800000000000005,0.404,0.364,0.44225,0.44,0.45,0.46,0.45,0.46,0.42,0.4,0.4,0.4,0.44,0.33,0.44,0.42,0.38,0.33,0.37,0.36,0.43,0.35,0.36,0.4,0.4,0.37,0.27,0.27,0.46,0.53,0.59,0.64,0.56,0.51,0.5,0.49,0.46,0.48,0.49,0.52,0.48,0.45,0.51,0.44,0.49,0.48,0.43,0.48,0.46,0.5,0.45,0.46,0.64,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,4,1,3,0.999,0.002,1254,0.45,0.5,0.48,0.5,0.48,0.56,0.52,0.43,0.4,0.46,0.38,0.42,0.44,0.44,0.48,0.46,0.38,0.42,0.36,0.39,0.4,0.4,0.38,0.3,0.44,0.44400000000000006,0.534,0.49000000000000005,0.526,0.5199999999999999,0.558,0.506,0.43200000000000005,0.434,0.466,0.388,0.414,0.45,0.45,0.454,0.45999999999999996,0.388,0.426,0.384,0.388,0.402,0.40199999999999997,0.404,0.33399999999999996,0.4439166666666667,0.43,0.46,0.42,0.45,0.46,0.5,0.36,0.32,0.29,0.42,0.26,0.32,0.34,0.39,0.41,0.36,0.32,0.32,0.31,0.36,0.34,0.3,0.34,0.22,0.22,0.45,0.63,0.59,0.64,0.6,0.64,0.58,0.51,0.55,0.5,0.5,0.5,0.54,0.58,0.48,0.55,0.48,0.49,0.49,0.43,0.5,0.5,0.55,0.5,0.64,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-0.3,3,1,3,0.999,0.002,1254,0.44,0.54,0.48,0.53,0.48,0.5,0.49,0.44,0.4,0.51,0.41,0.44,0.46,0.41,0.43,0.38,0.44,0.4,0.37,0.4,0.4,0.4,0.37,0.36,0.44,0.438,0.534,0.488,0.54,0.454,0.496,0.47800000000000004,0.44799999999999995,0.42000000000000004,0.49000000000000005,0.41,0.44400000000000006,0.454,0.41600000000000004,0.43200000000000005,0.39,0.42800000000000005,0.398,0.368,0.398,0.4,0.41,0.39,0.404,0.43866666666666665,0.43,0.41,0.45,0.52,0.39,0.46,0.37,0.35,0.37,0.45,0.35,0.34,0.37,0.34,0.37,0.35,0.35,0.35,0.29,0.34,0.31,0.32,0.37,0.31,0.29,0.45,0.62,0.54,0.57,0.52,0.52,0.54,0.52,0.47,0.52,0.48,0.52,0.51,0.48,0.51,0.46,0.52,0.47,0.45,0.43,0.46,0.49,0.46,0.59,0.62,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,3,1,3,0.999,0.002,1254,0.44,0.51,0.51,0.51,0.49,0.5,0.51,0.43,0.4,0.5,0.41,0.49,0.44,0.48,0.41,0.4,0.46,0.41,0.32,0.43,0.39,0.41,0.44,0.39,0.44,0.44000000000000006,0.52,0.518,0.522,0.45199999999999996,0.506,0.49000000000000005,0.44800000000000006,0.438,0.48,0.418,0.44800000000000006,0.42800000000000005,0.45199999999999996,0.418,0.404,0.44000000000000006,0.40599999999999997,0.36,0.422,0.43200000000000005,0.418,0.43600000000000005,0.394,0.4454166666666667,0.43,0.43,0.5,0.49,0.38,0.46,0.38,0.37,0.39,0.43,0.37,0.35,0.35,0.37,0.34,0.39,0.37,0.35,0.3,0.39,0.37,0.37,0.37,0.24,0.24,0.46,0.6,0.56,0.57,0.51,0.56,0.54,0.52,0.5,0.51,0.52,0.52,0.48,0.49,0.49,0.43,0.52,0.47,0.48,0.47,0.51,0.46,0.49,0.59,0.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-0.3,4,1,3,0.999,0.002,1254,0.44,0.5,0.46,0.52,0.5,0.54,0.49,0.45,0.38,0.44,0.34,0.4,0.46,0.42,0.5,0.46,0.4,0.44,0.42,0.32,0.38,0.42,0.32,0.35,0.435,0.43600000000000005,0.51,0.49800000000000005,0.51,0.516,0.558,0.49000000000000005,0.43600000000000005,0.418,0.446,0.376,0.422,0.45,0.43,0.466,0.4640000000000001,0.388,0.41,0.396,0.36,0.386,0.39,0.33599999999999997,0.344,0.43483333333333335,0.43,0.44,0.44,0.42,0.43,0.5,0.38,0.32,0.33,0.42,0.3,0.38,0.38,0.37,0.39,0.4,0.32,0.34,0.28,0.31,0.36,0.26,0.29,0.26,0.26,0.44,0.61,0.63,0.6,0.61,0.66,0.56,0.51,0.51,0.49,0.48,0.48,0.52,0.52,0.52,0.53,0.48,0.46,0.47,0.48,0.41,0.44,0.45,0.43,0.66,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,3,2,3,0.999,0.002,1254,0.43,0.51,0.5,0.53,0.47,0.48,0.51,0.39,0.44,0.44,0.42,0.4,0.47,0.4,0.39,0.4,0.5,0.32,0.36,0.28,0.36,0.3,0.37,0.3,0.43,0.426,0.49400000000000005,0.502,0.526,0.488,0.502,0.47000000000000003,0.41200000000000003,0.426,0.458,0.42400000000000004,0.414,0.442,0.406,0.386,0.404,0.484,0.386,0.36,0.336,0.366,0.32199999999999995,0.364,0.304,0.42091666666666666,0.39,0.44,0.48,0.44,0.42,0.46,0.36,0.34,0.35,0.43,0.36,0.38,0.3,0.33,0.36,0.34,0.38,0.26,0.31,0.28,0.31,0.22,0.3,0.19,0.19,0.45,0.52,0.54,0.6,0.54,0.6,0.52,0.49,0.47,0.52,0.48,0.47,0.52,0.46,0.42,0.45,0.54,0.54,0.43,0.49,0.44,0.43,0.43,0.38,0.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-0.3,2,1,3,0.999,0.002,1254,0.43,0.45,0.51,0.55,0.49,0.49,0.44,0.4,0.4,0.44,0.37,0.45,0.46,0.39,0.43,0.42,0.37,0.43,0.4,0.37,0.48,0.39,0.4,0.36,0.43,0.438,0.476,0.54,0.56,0.506,0.484,0.45199999999999996,0.434,0.40800000000000003,0.438,0.398,0.458,0.45199999999999996,0.4,0.42800000000000005,0.414,0.394,0.426,0.38,0.384,0.458,0.41,0.394,0.41200000000000003,0.4393333333333333,0.43,0.44,0.49,0.46,0.45,0.4,0.39,0.4,0.39,0.4,0.36,0.44,0.4,0.39,0.35,0.38,0.36,0.4,0.33,0.36,0.4,0.39,0.33,0.36,0.33,0.45,0.53,0.6,0.62,0.57,0.52,0.5,0.49,0.45,0.46,0.52,0.49,0.48,0.43,0.51,0.45,0.48,0.46,0.41,0.43,0.49,0.49,0.45,0.49,0.62,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-0.1,2,1,3,0.999,0.002,1254,0.41,0.45,0.48,0.51,0.48,0.48,0.43,0.42,0.38,0.45,0.4,0.44,0.44,0.33,0.39,0.44,0.38,0.43,0.33,0.31,0.42,0.48,0.38,0.28,0.42,0.418,0.45600000000000007,0.516,0.522,0.492,0.472,0.42400000000000004,0.38,0.384,0.4640000000000001,0.418,0.414,0.43,0.36,0.394,0.45599999999999996,0.418,0.42400000000000004,0.316,0.32,0.392,0.422,0.346,0.27,0.41283333333333333,0.41,0.4,0.45,0.49,0.42,0.39,0.35,0.3,0.37,0.45,0.39,0.36,0.36,0.33,0.32,0.42,0.38,0.36,0.27,0.3,0.35,0.29,0.28,0.24,0.24,0.43,0.49,0.6,0.56,0.57,0.51,0.46,0.44,0.42,0.51,0.46,0.45,0.46,0.42,0.48,0.5,0.51,0.46,0.34,0.35,0.42,0.49,0.39,0.28,0.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
