date_range,year,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,nlargest_nsmallest,total_profit,yearly_profit,win_ratio
2012-01-06/2012-12-31,2012,2,1,1,0.999,0.002,1254,nlargest,81.0468,86.41152,0.76
2012-01-02/2012-12-31,2012,2,1,1,0.999,0.002,1254,nlargest,80.5619,81.78534,0.75
2010-01-05/2010-12-31,2010,2,1,1,0.999,0.002,1254,nlargest,46.65055,49.33944,0.96
2010-01-04/2010-12-31,2010,2,1,1,0.999,0.002,1254,nlargest,46.6039,48.76007,0.96
2001-01-01/2001-12-31,2001,2,1,1,0.999,0.002,1254,nlargest,43.71672,44.28755,1.0
2001-01-04/2001-12-31,2001,2,1,1,0.999,0.002,1254,nlargest,39.50275,41.25002,0.99
2009-01-06/2009-12-31,2009,2,1,1,0.999,0.002,1254,nlargest,35.74855,38.04519,0.93
2009-01-05/2009-12-31,2009,2,1,1,0.999,0.002,1254,nlargest,35.74855,37.66258,0.93
2009-01-01/2009-12-31,2009,2,1,1,0.999,0.002,1254,nlargest,35.74855,36.19032,0.92
2022-01-06/2022-12-31,2022,2,1,1,0.999,0.002,1254,nlargest,29.03821,30.79211,0.96
2022-01-03/2022-12-31,2022,2,1,1,0.999,0.002,1254,nlargest,28.89337,29.7792,0.95
2013-01-04/2013-12-31,2013,2,1,1,0.999,0.002,1254,nlargest,20.79933,21.55592,0.99
2023-01-03/2023-06-23,2023,2,1,1,0.999,0.002,1254,nlargest,4.18237,21.24886,0.85
2008-01-07/2008-12-31,2008,2,1,1,0.999,0.002,1254,nlargest,18.18816,19.13027,0.77
2008-01-03/2008-12-31,2008,2,1,1,0.999,0.002,1254,nlargest,18.09744,18.4252,0.76
2008-01-02/2008-12-31,2008,2,1,1,0.999,0.002,1254,nlargest,18.09744,18.2783,0.76
2012-01-05/2012-12-31,2012,2,1,1,0.999,0.002,1254,nlargest,16.76408,17.32983,0.95
2016-01-07/2016-12-31,2016,2,1,1,0.999,0.002,1254,nlargest,13.06802,13.66603,0.95
2016-01-01/2016-12-31,2016,2,1,1,0.999,0.002,1254,nlargest,13.00284,13.0257,0.94
2013-01-01/2013-12-31,2013,2,1,1,0.999,0.002,1254,nlargest,12.50207,12.61098,0.92
2010-01-07/2010-12-31,2010,2,1,1,0.999,0.002,1254,nlargest,11.94107,12.55611,0.99
2022-01-05/2022-12-31,2022,2,1,1,0.999,0.002,1254,nlargest,11.77309,12.20415,0.95
2023-01-06/2023-12-23,2023,2,1,1,0.999,0.002,1254,nlargest,10.24968,11.26532,0.88
2017-01-05/2017-12-31,2017,2,1,1,0.999,0.002,1254,nlargest,9.23976,9.54428,0.98
2003-01-02/2003-12-31,2003,2,1,1,0.999,0.002,1254,nlargest,9.25038,9.37882,1.0
2016-01-06/2016-12-31,2016,2,1,1,0.999,0.002,1254,nlargest,8.8578,9.1441,0.99
2011-01-06/2011-12-31,2011,2,1,1,0.999,0.002,1254,nlargest,7.96164,8.25445,0.98
2003-01-03/2003-12-31,2003,2,1,1,0.999,0.002,1254,nlargest,7.80362,7.9489,0.99
2017-01-02/2017-12-31,2017,2,1,1,0.999,0.002,1254,nlargest,7.40416,7.49661,0.99
2017-01-06/2017-12-31,2017,2,1,1,0.999,0.002,1254,nlargest,6.88492,7.1201,0.99
2005-01-03/2005-12-31,2005,2,1,1,0.999,0.002,1254,nlargest,6.65644,6.7707,1.0
