date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee_%,num_tickers,nsmallest/nlargest,total_profit,yearly_profit,win_ratio
2000-08-03/2022-12-31,2,2,1,0.999,0.2,208,nsmallest,30996.40469,1.58643,1.0
2000-08-09/2022-12-31,2,2,1,0.999,0.2,208,nsmallest,29942.77801,1.58452,0.99
2000-08-03/2022-12-31,2,2,1,0.998,0.2,208,nsmallest,14096.41875,1.53162,1.0
2000-08-09/2022-12-31,2,2,1,0.998,0.2,208,nsmallest,13603.62381,1.52967,0.99
2000-08-05/2022-12-31,2,3,1,0.999,0.2,208,nsmallest,9248.2433,1.50323,1.0
2000-08-05/2022-12-31,2,4,1,0.999,0.2,208,nsmallest,7651.21354,1.49057,0.99
2000-08-03/2022-12-31,2,2,1,0.997,0.2,208,nsmallest,7641.68658,1.49034,1.0
2000-08-09/2022-12-31,2,2,1,0.997,0.2,208,nsmallest,7367.15249,1.48834,0.99
2000-08-08/2022-12-31,2,4,1,0.999,0.2,208,nsmallest,7057.23564,1.48541,1.0
2000-08-05/2022-12-31,2,3,1,0.998,0.2,208,nsmallest,7072.44569,1.48534,1.0
2000-08-07/2022-12-31,2,4,1,0.999,0.2,208,nsmallest,7057.23564,1.48534,1.0
2000-08-06/2022-12-31,2,4,1,0.999,0.2,208,nsmallest,7057.23564,1.48527,1.0
2000-08-05/2022-12-31,2,4,1,0.998,0.2,208,nsmallest,4691.57507,1.45838,0.99
2000-08-05/2022-12-31,2,2,1,0.999,0.2,208,nsmallest,4656.26696,1.45789,1.0
2000-08-01/2022-12-31,2,2,1,0.999,0.2,208,nsmallest,4633.04139,1.45729,1.0
2000-08-05/2022-12-31,2,3,1,0.997,0.2,208,nsmallest,4478.91167,1.45536,0.99
2000-08-08/2022-12-31,2,4,1,0.998,0.2,208,nsmallest,4414.43507,1.45462,1.0
2000-08-07/2022-12-31,2,4,1,0.998,0.2,208,nsmallest,4414.43507,1.45455,1.0
2000-08-06/2022-12-31,2,4,1,0.998,0.2,208,nsmallest,4414.43507,1.45449,1.0
2000-08-03/2022-12-31,3,2,1,0.999,0.2,208,nsmallest,4413.27336,1.45427,1.0
2000-08-07/2022-12-31,3,5,1,0.999,0.2,208,nsmallest,4254.04788,1.45215,1.0
2000-08-06/2022-12-31,3,5,1,0.999,0.2,208,nsmallest,4254.04788,1.45209,1.0
2000-08-08/2022-12-31,3,5,1,0.999,0.2,208,nsmallest,4190.46897,1.45124,1.0
2000-08-05/2022-12-31,2,6,1,0.999,0.2,208,nsmallest,4174.23393,1.45079,0.99
2000-08-05/2022-12-31,3,3,1,0.999,0.2,208,nsmallest,3929.54135,1.44689,1.0
2000-08-01/2022-12-31,4,2,1,0.999,0.2,208,nsmallest,3870.13146,1.44564,1.0
2000-08-09/2022-12-31,4,2,1,0.999,0.2,208,nsmallest,3618.20997,1.44182,0.99
2000-08-05/2022-12-31,4,4,1,0.999,0.2,208,nsmallest,3600.66398,1.44125,0.99
