date_range,year,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2023-01-02/2023-06-23,2023,nsmallest,-999,2,2,1,0.999,0.002,1254,635358.5136,2103683708601.6165,0.28
2023-01-02/2023-06-23,2023,nsmallest,-999,2,2,2,0.999,0.002,1254,125624.069,67316011613.4046,0.34
2023-01-02/2023-06-23,2023,nsmallest,-999,2,2,3,0.999,0.002,1254,48274.7955,8832796158.1271,0.48
2023-01-04/2023-06-23,2023,nsmallest,-999,2,1,1,0.999,0.002,1254,25535.2231,2943534790.7072,0.26
2023-01-02/2023-06-23,2023,nsmallest,-999,4,2,1,0.999,0.002,1254,17167.9721,983156738.3657,0.26
2023-01-04/2023-06-23,2023,nsmallest,-999,2,1,2,0.999,0.002,1254,9803.5983,376364938.2817,0.36
2023-01-04/2023-06-23,2023,nsmallest,-999,4,1,1,0.999,0.002,1254,8689.1702,290409447.9113,0.17
2023-01-03/2023-06-23,2023,nsmallest,-999,3,3,1,0.999,0.002,1254,8130.1289,224817917.1953,0.26
2023-01-04/2023-06-23,2023,nsmallest,-999,2,1,3,0.999,0.002,1254,4639.6192,75430180.5684,0.38
2023-01-02/2023-06-23,2023,nsmallest,-999,4,2,2,0.999,0.002,1254,4782.3348,65145832.8088,0.26
2023-01-02/2023-06-23,2023,nsmallest,-999,4,2,3,0.999,0.002,1254,4508.5735,57480706.6628,0.42
2023-01-04/2023-06-23,2023,nsmallest,-999,4,1,2,0.999,0.002,1254,3894.284,51777292.4133,0.26
2023-01-04/2023-06-23,2023,nsmallest,-999,2,4,1,0.999,0.002,1254,3691.5229,46157902.8771,0.16
2023-01-04/2023-06-23,2023,nsmallest,-999,4,1,3,0.999,0.002,1254,2715.5479,23864029.6081,0.35
2023-01-03/2023-06-23,2023,nsmallest,-999,3,3,2,0.999,0.002,1254,2444.3052,17257628.8281,0.32
2023-01-03/2023-06-23,2023,nsmallest,-999,3,3,3,0.999,0.002,1254,2019.0127,11472579.2172,0.37
2023-01-04/2023-06-23,2023,nsmallest,-999,2,4,2,0.999,0.002,1254,1579.148,7445700.4102,0.16
2023-01-04/2023-06-23,2023,nsmallest,-999,2,4,3,0.999,0.002,1254,1051.7135,3109106.1802,0.32
2023-01-05/2023-12-23,2023,nsmallest,-999,3,1,1,0.999,0.002,1254,815184.9299,1360717.3263,0.26
2003-01-03/2003-12-31,2003,nsmallest,-999,2,1,1,0.999,0.002,1254,967201.2169,1094596.8882,0.36
2023-01-06/2023-12-23,2023,nsmallest,-999,2,2,1,0.999,0.002,1254,620290.1794,1066017.5551,0.24
2003-01-02/2003-12-31,2003,nsmallest,-999,2,1,1,0.999,0.002,1254,968169.3863,1054518.857,0.36
2022-01-05/2022-12-31,2022,nsmallest,-999,2,1,1,0.999,0.002,1254,578948.0614,702551.3914,0.18
2023-01-05/2023-12-23,2023,nsmallest,-999,3,1,2,0.999,0.002,1254,294306.4397,472777.2546,0.32
2022-01-06/2022-12-31,2022,nsmallest,-999,2,3,1,0.999,0.002,1254,256184.8778,318209.7953,0.18
2022-01-04/2022-12-31,2022,nsmallest,-999,2,2,1,0.999,0.002,1254,198137.699,228732.3181,0.13
2023-01-05/2023-12-23,2023,nsmallest,-999,3,1,3,0.999,0.002,1254,139423.511,217760.6205,0.32
2023-01-06/2023-12-23,2023,nsmallest,-999,2,2,2,0.999,0.002,1254,122583.4123,197248.3303,0.29
2022-01-05/2022-12-31,2022,nsmallest,-999,2,1,2,0.999,0.002,1254,133218.5163,158233.2784,0.3
