date_range,year,start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2003-01-01/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,3.1316712091328443e+32,4.0491959851803e+32,0.59
2003-01-06/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,3.1699954159147425e+31,1.1206639282118785e+32,0.59
2003-01-01/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,6.64920208477516e+25,8.155425514350168e+25,0.73
2003-01-06/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,1.2096014856400902e+25,3.30611411129524e+25,0.73
2003-01-03/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,8.028573567607012e+23,1.3159877829032922e+24,0.58
2023-01-04/2023-06-23,2023,Close,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,32208536345.1876,3.7729819636913465e+22,0.41
2003-01-02/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,2.6625144932344395e+22,3.6668380069935865e+22,0.59
2023-01-04/2023-06-23,2023,Open,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,28497742438.8411,2.9004658825134183e+22,0.36
2003-01-07/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,6.852870499946877e+21,1.897052896025e+22,0.58
2023-01-04/2023-06-23,2023,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,18407958859.542,1.1341396108260044e+22,0.46
2003-01-06/2003-12-31,2003,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,2.645664785294352e+21,6.244386988056442e+21,0.48
2003-01-01/2003-12-31,2003,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,2.949742387180704e+21,3.4955276605787855e+21,0.49
2023-01-04/2023-06-23,2023,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,9796113202.5569,2.924643487390655e+21,0.36
2023-01-02/2023-06-23,2023,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,1254,12748793278.9974,2.880272721564206e+21,0.34
2023-01-02/2023-06-23,2023,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,1254,11325407404.2371,2.240015101342427e+21,0.31
2023-01-02/2023-06-23,2023,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,1254,7705841805.7528,9.88831542127633e+20,0.38
2003-01-01/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,5.390280718590371e+20,6.350458812716892e+20,0.58
2023-01-02/2023-06-23,2023,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,5231445989.478,4.344555068547079e+20,0.38
2023-01-02/2023-06-23,2023,Close,Open,Open,nsmallest,-9999,3,2,1,0.999,0.002,1254,4935997028.0875,3.840010682998371e+20,0.39
2003-01-02/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,1,1,0.999,0.002,1254,2.75063695444184e+20,3.682340762551424e+20,0.58
2003-01-02/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,2.600676735155044e+20,3.480375992047237e+20,0.53
2003-01-01/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,1,1,0.999,0.002,1254,2.654320582615932e+20,3.119540133514565e+20,0.53
2003-01-07/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,1,1,0.999,0.002,1254,6.8317807336753865e+19,1.7227050742130898e+20,0.52
2023-01-02/2023-06-23,2023,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,1254,3352845586.9101,1.6891130673832057e+20,0.31
2003-01-07/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,5.456244933565847e+19,1.3695992953675307e+20,0.57
2023-01-02/2023-06-23,2023,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,2492628309.9821,8.999933580643205e+19,0.31
2023-01-04/2023-06-23,2023,Close,Close,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,1895752201.8128,8.58196180001712e+19,0.33
2003-01-06/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,1,1,0.999,0.002,1254,3.799767483797032e+19,8.329716665896449e+19,0.62
2023-01-04/2023-06-23,2023,Open,Open,Open,nsmallest,-9999,2,1,2,0.999,0.002,1254,1796465158.1632,7.645237434566436e+19,0.54
2023-01-02/2023-06-23,2023,Open,Close,Open,nsmallest,-9999,2,2,2,0.999,0.002,1254,2218046734.886,7.024306640478895e+19,0.48
2023-01-02/2023-06-23,2023,Close,Open,Close,nsmallest,-9999,3,2,1,0.999,0.002,1254,2052809433.2129,5.959440092291871e+19,0.39
2023-01-02/2023-06-23,2023,Open,Open,Open,nsmallest,-9999,3,2,1,0.999,0.002,1254,2016454832.3337,5.737549534920037e+19,0.3
2003-01-03/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,3.515932120330569e+19,5.266509713138284e+19,0.57
2023-01-04/2023-06-23,2023,Close,Open,Open,nsmallest,-9999,2,1,2,0.999,0.002,1254,1257562068.5403,3.553093304845671e+19,0.54
2023-01-02/2023-06-23,2023,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,1462781896.8638,2.90191788457533e+19,0.31
2023-01-02/2023-06-23,2023,Close,Close,Open,nsmallest,-9999,2,2,2,0.999,0.002,1254,1349955489.7621,2.447135496627178e+19,0.45
2023-01-02/2023-06-23,2023,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,1347821302.9484,2.438927315651267e+19,0.21
2023-01-02/2023-06-23,2023,Open,Open,Open,nsmallest,-9999,2,2,2,0.999,0.002,1254,1307467159.1918,2.28646627887845e+19,0.41
2023-01-02/2023-06-23,2023,Open,Open,Close,nsmallest,-9999,3,2,1,0.999,0.002,1254,1239173309.013,2.040275645425468e+19,0.3
2002-01-03/2002-12-31,2002,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,1.1570559720487991e+19,1.7159446221768514e+19,0.44
2023-01-02/2023-06-23,2023,Close,Open,Open,nsmallest,-9999,2,2,2,0.999,0.002,1254,1101352109.0118,1.5883668496447064e+19,0.55
2023-01-04/2023-06-23,2023,Open,Close,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,813941805.7788,1.3953138343502422e+19,0.28
2023-01-02/2023-06-23,2023,Close,Close,Close,nsmallest,-9999,2,2,2,0.999,0.002,1254,1018393692.1791,1.345017587476217e+19,0.45
2002-01-03/2002-12-31,2002,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,6.96805145688598e+18,1.0286862359872315e+19,0.47
2023-01-04/2023-06-23,2023,Close,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,632042559.8436,8.103307529900633e+18,0.56
2003-01-03/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,4.932886678004747e+18,7.259821483435849e+18,0.71
2023-01-02/2023-06-23,2023,Close,Open,Close,nsmallest,-9999,2,2,2,0.999,0.002,1254,719187703.8334,6.425641201457489e+18,0.52
2023-01-04/2023-06-23,2023,Open,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,541789745.9647,5.819588953209778e+18,0.51
2023-01-02/2023-06-23,2023,Open,Close,Close,nsmallest,-9999,2,2,2,0.999,0.002,1254,674705488.5227,5.61092871970621e+18,0.41
2003-01-01/2003-12-31,2003,Close,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,3.704006771587196e+18,4.289807608427622e+18,0.4
2023-01-04/2023-06-23,2023,Open,Close,Open,nsmallest,-9999,2,1,2,0.999,0.002,1254,466362706.7011,4.217043465075095e+18,0.49
2023-01-04/2023-06-23,2023,Close,Close,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,403649052.6555,3.092093213601251e+18,0.31
2023-01-02/2023-06-23,2023,Open,Close,Open,nsmallest,-9999,3,2,2,0.999,0.002,1254,507343588.5266,3.062767777792132e+18,0.52
2023-01-04/2023-06-23,2023,Open,Close,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,353765785.183,2.3289887350688794e+18,0.28
2023-01-02/2023-06-23,2023,Open,Close,Close,nsmallest,-9999,3,2,2,0.999,0.002,1254,435696957.3292,2.2167165603952e+18,0.48
2004-01-06/2004-12-31,2004,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,1.192419277102845e+18,2.187981158453519e+18,0.55
2023-01-04/2023-06-23,2023,Open,Close,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,324070793.7085,1.929123904665661e+18,0.51
2023-01-02/2023-06-23,2023,Close,Open,Open,nsmallest,-9999,3,2,2,0.999,0.002,1254,381371510.7317,1.670675621358066e+18,0.52
2023-01-02/2023-06-23,2023,Close,Close,Open,nsmallest,-9999,3,2,2,0.999,0.002,1254,351336350.638,1.4035905916823163e+18,0.48
2004-01-01/2004-12-31,2004,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,1.1864714611877156e+18,1.2207786479839127e+18,0.55
2023-01-02/2023-06-23,2023,Open,Close,Open,nsmallest,-9999,3,2,1,0.999,0.002,1254,268381864.3289,7.922265297675611e+17,0.35
2023-01-02/2023-06-23,2023,Close,Open,Close,nsmallest,-9999,3,2,2,0.999,0.002,1254,263569212.6711,7.623624918751809e+17,0.48
2003-01-06/2003-12-31,2003,Close,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,3.749335004328195e+17,7.584160041919802e+17,0.39
2023-01-02/2023-06-23,2023,Close,Close,Open,nsmallest,-9999,3,2,1,0.999,0.002,1254,261206633.2076,7.479239482019154e+17,0.3
2023-01-02/2023-06-23,2023,Open,Open,Open,nsmallest,-9999,3,2,2,0.999,0.002,1254,256313047.0261,7.184817079131648e+17,0.39
2003-01-02/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,4.683336921005391e+17,6.026756405964445e+17,0.71
2023-01-02/2023-06-23,2023,Close,Close,Close,nsmallest,-9999,3,2,2,0.999,0.002,1254,227741969.7885,5.590093642344101e+17,0.39
2023-01-02/2023-06-23,2023,Open,Close,Close,nsmallest,-9999,3,2,1,0.999,0.002,1254,219949311.6423,5.191705765019512e+17,0.3
2003-01-06/2003-12-31,2003,Open,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,2.192494000169341e+17,4.393746270273571e+17,0.64
2023-01-02/2023-06-23,2023,Open,Open,Close,nsmallest,-9999,2,2,2,0.999,0.002,1254,191520309.1362,3.869620894660525e+17,0.31
2023-01-04/2023-06-23,2023,Close,Close,Open,nsmallest,-9999,2,1,2,0.999,0.002,1254,145213736.9584,3.438061224979308e+17,0.38
2003-01-07/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,1.3363593856584253e+17,2.969936291115071e+17,0.7
2003-01-01/2003-12-31,2003,Open,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,2.3574423696428995e+17,2.704576018595885e+17,0.64
2023-01-02/2023-06-23,2023,Open,Open,Close,nsmallest,-9999,3,2,2,0.999,0.002,1254,139661892.8122,1.9790274209054592e+17,0.35
2002-01-07/2002-12-31,2002,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,8.784249136635797e+16,1.9357012391531232e+17,0.48
2023-01-02/2023-06-23,2023,Close,Close,Close,nsmallest,-9999,3,2,1,0.999,0.002,1254,137265576.6409,1.9076145721564864e+17,0.22
2004-01-06/2004-12-31,2004,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,8.890098962155331e+16,1.5706454117361952e+17,0.55
2002-01-03/2002-12-31,2002,Close,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,9.406712231292658e+16,1.3360530274957555e+17,0.41
2002-01-02/2002-12-31,2002,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,8.740433091541085e+16,1.1131212004607702e+17,0.48
2004-01-01/2004-12-31,2004,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,8.845754935595602e+16,9.085362417282392e+16,0.55
2002-01-03/2002-12-31,2002,Open,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,4.661299104674726e+16,6.578928544547302e+16,0.45
2023-01-04/2023-06-23,2023,Close,Close,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,66736602.149,6.469584326984628e+16,0.46
2001-01-01/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,5.151798323661203e+16,5.879614090837787e+16,0.56
2003-01-06/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,2.863446972194409e+16,5.538534625043427e+16,0.59
2003-01-01/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,2,1,0.999,0.002,1254,4.280184455208539e+16,4.881755499211078e+16,0.57
2003-01-03/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,2,1,0.999,0.002,1254,2.819369630636881e+16,3.961319266672462e+16,0.56
2003-01-01/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,2,2,0.999,0.002,1254,2.9451181628387784e+16,3.354738777144846e+16,0.72
2001-01-03/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,2.1633765692093644e+16,3.032405763489992e+16,0.49
2003-01-02/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,1,2,0.999,0.002,1254,1.9271472020503884e+16,2.4313889796185944e+16,0.7
