date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,rank,pct_change_threshold,total_profit,yearly_profit,win_ratio
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nsmallest,0.0,165025.81708,120147328578.25432,0.17
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nsmallest,0.2,165025.81708,120147328578.25432,0.17
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nsmallest,0.4,165025.81708,120147328578.25432,0.17
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nsmallest,0.6,165025.81708,120147328578.25432,0.17
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nsmallest,0.8,165025.81708,120147328578.25432,0.17
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nsmallest,1.0,165025.81708,120147328578.25432,0.17
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nsmallest,1.5,165025.81708,120147328578.25432,0.17
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nsmallest,2.0,165025.81708,120147328578.25432,0.17
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nsmallest,3.0,165025.81708,120147328578.25432,0.17
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nsmallest,5.0,165025.81708,120147328578.25432,0.17
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nsmallest,0.1,165025.81708,120147328578.25432,0.17
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nlargest,0.8,1.36629,1.94013,0.07
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nlargest,3.0,1.36629,1.94013,0.07
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nlargest,2.0,1.36629,1.94013,0.07
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nlargest,1.5,1.36629,1.94013,0.07
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nlargest,1.0,1.36629,1.94013,0.07
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nlargest,0.0,1.36629,1.94013,0.07
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nlargest,0.6,1.36629,1.94013,0.07
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nlargest,0.4,1.36629,1.94013,0.07
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nlargest,0.2,1.36629,1.94013,0.07
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nlargest,0.1,1.36629,1.94013,0.07
2023-01-02/2023-06-23,2,2,1,0.999,0.002,1254,nlargest,5.0,1.36629,1.94013,0.07
