date_range,year,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2023-01-02/2023-06-23,2023,nsmallest,-99.0,2,2,1,0.999,0.002,1254,165025.8171,120147328578.2543,0.17
2023-01-02/2023-06-23,2023,nsmallest,-99.0,2,2,2,0.999,0.002,1254,82931.0502,27869211236.4669,0.28
2023-01-02/2023-06-23,2023,nsmallest,-99.0,4,2,1,0.999,0.002,1254,66300.2351,17326526399.0933,0.42
2023-01-02/2023-06-23,2023,nsmallest,-99.0,2,2,3,0.999,0.002,1254,39060.0831,5633248886.9335,0.41
2022-01-04/2022-12-31,2022,nsmallest,-99.0,2,2,1,0.999,0.002,1254,2474568718.1069,3192183212.1253,0.16
2023-01-04/2023-06-23,2023,nsmallest,-99.0,2,1,1,0.999,0.002,1254,23850.8967,2542129218.6321,0.23
2022-01-04/2022-12-31,2022,nsmallest,-99.0,2,2,2,0.999,0.002,1254,555563765.3748,704181126.9976,0.29
2022-01-04/2022-12-31,2022,nsmallest,-99.0,3,4,2,0.999,0.002,1254,490929398.6986,621351185.4672,0.29
2023-01-02/2023-06-23,2023,nsmallest,-99.0,4,2,2,0.999,0.002,1254,12584.117,508351713.7021,0.37
2022-01-04/2022-12-31,2022,nsmallest,-99.0,4,1,2,0.999,0.002,1254,392994062.0179,496096808.2018,0.24
2023-01-03/2023-06-23,2023,nsmallest,-99.0,3,3,1,0.999,0.002,1254,10805.0003,412744228.4812,0.26
2023-01-02/2023-06-23,2023,nsmallest,-99.0,4,2,3,0.999,0.002,1254,11045.654,385394108.9653,0.58
2022-01-04/2022-12-31,2022,nsmallest,-99.0,2,2,3,0.999,0.002,1254,187784333.6336,234997874.5471,0.35
2022-01-04/2022-12-31,2022,nsmallest,-99.0,3,4,3,0.999,0.002,1254,178185453.7044,222847904.5918,0.43
2022-01-04/2022-12-31,2022,nsmallest,-99.0,4,1,3,0.999,0.002,1254,172793548.294,216026348.6182,0.38
2023-01-04/2023-06-23,2023,nsmallest,-99.0,4,1,1,0.999,0.002,1254,7315.7794,200667740.2614,0.22
2022-01-03/2022-12-31,2022,nsmallest,-99.0,4,3,3,0.999,0.002,1254,141744356.4911,167760296.4186,0.31
