date_range,year,start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2003-01-01/2003-12-31,2003,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,2.1022357977010968e+32,2.7144362491731456e+32,0.52
2003-01-06/2003-12-31,2003,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,2.127962163604532e+31,7.47080108100181e+31,0.52
2003-01-03/2003-12-31,2003,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1.178745944051675e+23,1.8991231493846767e+23,0.48
2003-01-02/2003-12-31,2003,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,2.0310132505606223e+22,2.7924390564716e+22,0.55
2003-01-07/2003-12-31,2003,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,5.227491089770593e+21,1.4391931172930567e+22,0.55
2023-01-04/2023-06-23,2023,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,2280184740.5367,1.2760681073450924e+20,0.46
2002-01-03/2002-12-31,2002,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,6.365435791656397e+18,9.3895989026742e+18,0.38
2023-01-04/2023-06-23,2023,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,403649052.6555,3.092093213601251e+18,0.31
2003-01-01/2003-12-31,2003,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,2.2229498531809618e+18,2.570006559874563e+18,0.35
2004-01-06/2004-12-31,2004,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,8.391848076997395e+17,1.5319592143171407e+18,0.45
2004-01-01/2004-12-31,2004,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,8.349989337786986e+17,8.589364803198757e+17,0.44
2003-01-06/2003-12-31,2003,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,2.250153471999779e+17,4.5113338791335725e+17,0.34
2002-01-07/2002-12-31,2002,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,4.612781398669088e+16,1.0033013476826165e+17,0.41
2002-01-02/2002-12-31,2002,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,4.589772734566747e+16,5.821926883134008e+16,0.41
2002-01-03/2002-12-31,2002,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,2.1729940503686988e+16,3.0460078910705316e+16,0.35
2001-01-01/2001-12-31,2001,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1.373424866910979e+16,1.5603541934003132e+16,0.41
2001-01-03/2001-12-31,2001,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,7332291966532481.0,1.0178324545332656e+16,0.36
2001-01-05/2001-12-31,2001,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,3373209312607804.0,5681904395624731.0,0.42
2001-01-02/2001-12-31,2001,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,3356383663761085.0,4188961221029434.0,0.42
2004-01-06/2004-12-31,2004,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1890291163967956.5,3157267757425579.5,0.4
2001-01-04/2001-12-31,2001,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1410997635232895.2,2127548331300629.0,0.4
2004-01-01/2004-12-31,2004,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1711586924804714.0,1753205381485038.5,0.4
2001-01-03/2001-12-31,2001,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,581840949687822.6,789516531371216.6,0.44
2004-01-05/2004-12-31,2004,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,115533757328721.53,169148092555952.56,0.38
2023-01-04/2023-06-23,2023,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,2734923.5078,67603012642097.44,0.28
2001-01-05/2001-12-31,2001,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,20695619661195.375,32364457245651.406,0.45
2001-01-02/2001-12-31,2001,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,20592389414621.867,24901741362510.555,0.44
2023-01-04/2023-06-23,2023,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1648646.4025,22786694604135.71,0.23
2002-01-07/2002-12-31,2002,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,7354210274513.038,13399894161733.459,0.39
