date_range,year,start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2000-08-04/2022-12-31,2000,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,2.284216949855573e+21,8.9792,0.3
2000-08-10/2022-12-31,2000,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,2.1859901391527653e+21,8.976,0.3
2000-08-04/2022-12-31,2000,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.424841799548612e+21,8.792,0.28
2000-08-10/2022-12-31,2000,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.3635701827109304e+21,8.7888,0.28
2000-08-04/2022-12-31,2000,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,9.593080064510255e+20,8.6381,0.3
2000-08-10/2022-12-31,2000,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,9.180554599443129e+20,8.6348,0.3
2000-08-04/2022-12-31,2000,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,7.310547503547044e+20,8.534,0.29
2000-08-10/2022-12-31,2000,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,6.99617641641797e+20,8.5307,0.29
2023-01-04/2023-06-23,2023,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,2.4875,7.0847,0.28
2023-01-04/2023-06-23,2023,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,2.4505,6.8603,0.24
2000-08-09/2022-12-31,2000,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,3.536492727086156e+18,6.7348,0.27
2000-08-03/2022-12-31,2000,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,3.598124991469102e+18,6.7306,0.27
2000-08-09/2022-12-31,2000,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,2.180839407177052e+18,6.591,0.29
2000-08-03/2022-12-31,2000,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,2.2456992395272653e+18,6.5905,0.29
2000-08-09/2022-12-31,2000,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.6857327486015877e+18,6.5156,0.29
2000-08-03/2022-12-31,2000,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.720903409276626e+18,6.5127,0.29
2000-08-03/2022-12-31,2000,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.2825150307522304e+18,6.4278,0.27
2000-08-09/2022-12-31,2000,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.1711681526805e+18,6.4105,0.27
2000-08-07/2022-12-31,2000,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.0596542651663348e+18,6.379,0.29
2000-08-06/2022-12-31,2000,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.0596542651663348e+18,6.3776,0.29
2000-08-05/2022-12-31,2000,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.0596542651663348e+18,6.3761,0.29
2000-08-01/2022-12-31,2000,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.054368684310748e+18,6.3689,0.29
2000-08-07/2022-12-31,2000,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,5.159017589854902e+17,6.1773,0.27
2000-08-06/2022-12-31,2000,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,5.159017589854902e+17,6.1759,0.27
2000-08-05/2022-12-31,2000,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,5.159017589854902e+17,6.1745,0.27
2000-08-01/2022-12-31,2000,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,5.1332842865474176e+17,6.1677,0.27
2000-08-07/2022-12-31,2000,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,2.9305385842073626e+17,6.0233,0.27
2000-08-06/2022-12-31,2000,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,2.9305385842073626e+17,6.0219,0.27
